fold_index,test_subject_id,epoch,objective,feature_kind,n_segments,batch_size,embedding_dim,projection_dim,learning_rate,feature_mask_prob,noise_std,lambda_latent,lambda_local,loss,alignment_loss,masked_latent_loss,local_reconstruction_loss,barlow_on_diag_loss,barlow_off_diag_loss,vicreg_invariance_loss,vicreg_variance_loss,vicreg_covariance_loss,ssl_data_scope,historical_unlabeled_pretraining,run_name,segment_ssl,segment_ssl_objective,segment_ssl_feature_kind,seed,ssl_projection_dim,ssl_feature_mask_prob,ssl_noise_std
0,sub01,1,barlow,psd,16318,16,32,32,0.001,0.03,0.02,1.0,0.1,1.1283970332028819,0.9415346286460465,0.09829218983650208,0.8857021439309214,0.06274207727315918,175.7585141425039,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_psd-fc-wpli_finetune_seed7_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,barlow,psd,7,32,0.03,0.02
0,sub01,2,barlow,psd,16318,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7436947691089967,0.6513883507427047,0.008130008332869585,0.8417640985227098,0.05158590972583339,119.96049103082395,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_psd-fc-wpli_finetune_seed7_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,barlow,psd,7,32,0.03,0.02
0,sub01,3,barlow,psd,16318,16,32,32,0.001,0.03,0.02,1.0,0.1,0.6655668674730787,0.5766778095972305,0.0058295235914342545,0.8305953339326615,0.04596055720786692,106.14345279020422,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_psd-fc-wpli_finetune_seed7_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,barlow,psd,7,32,0.03,0.02
0,sub01,4,barlow,psd,16318,16,32,32,0.001,0.03,0.02,1.0,0.1,0.630238365484219,0.542910137860214,0.004707620774998384,0.8262060715579519,0.042863687253374534,100.0092923931047,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_psd-fc-wpli_finetune_seed7_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,barlow,psd,7,32,0.03,0.02
0,sub01,5,barlow,psd,16318,16,32,32,0.001,0.03,0.02,1.0,0.1,0.6056104297147078,0.51932935150815,0.004184457835029153,0.8209662040951206,0.03810220447085871,96.24543134651933,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_psd-fc-wpli_finetune_seed7_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,barlow,psd,7,32,0.03,0.02
0,sub01,6,barlow,psd,16318,16,32,32,0.001,0.03,0.02,1.0,0.1,0.5963963749069794,0.5109360771436318,0.003985435004327811,0.8147486304827765,0.03876868573008288,94.43348034129423,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_psd-fc-wpli_finetune_seed7_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,barlow,psd,7,32,0.03,0.02
0,sub01,7,barlow,psd,16318,16,32,32,0.001,0.03,0.02,1.0,0.1,0.5742694127209046,0.48962176430459114,0.003983841339747111,0.8066380596044017,0.0352748353988407,90.8693878547818,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_psd-fc-wpli_finetune_seed7_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,barlow,psd,7,32,0.03,0.02
0,sub01,8,barlow,psd,16318,16,32,32,0.001,0.03,0.02,1.0,0.1,0.5768650858425627,0.4928563974651636,0.0036977667434542785,0.8031091978152592,0.03953713245790306,90.66385498794855,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_psd-fc-wpli_finetune_seed7_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,barlow,psd,7,32,0.03,0.02
0,sub01,9,barlow,psd,16318,16,32,32,0.001,0.03,0.02,1.0,0.1,0.5620289238936761,0.4787219865064995,0.0033048974532707063,0.8000203875057837,0.03763179110326603,88.21804112827077,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_psd-fc-wpli_finetune_seed7_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,barlow,psd,7,32,0.03,0.02
0,sub01,10,barlow,psd,16318,16,32,32,0.001,0.03,0.02,1.0,0.1,0.5505633795086076,0.4678108251270126,0.003132060929840686,0.7962049301056301,0.03476793309171483,86.60858042847876,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_psd-fc-wpli_finetune_seed7_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100,True,barlow,psd,7,32,0.03,0.02
