Seed,Accuracy,Balanced accuracy,Sensitivity,Specificity,Precision,F1,ROC AUC,PR AUC,Brier,TN,FP,FN,TP
0,0.8421,0.8389,0.9000,0.7778,0.8182,0.8571,0.8667,0.8613,0.1413,7,2,1,9
1,0.8421,0.8333,1.0000,0.6667,0.7692,0.8696,0.9333,0.9476,0.1204,6,3,0,10
2,0.7895,0.7833,0.9000,0.6667,0.7500,0.8182,0.8778,0.8856,0.1415,6,3,1,9
3,0.7895,0.7833,0.9000,0.6667,0.7500,0.8182,0.7556,0.7755,0.1963,6,3,1,9
4,0.8947,0.8889,1.0000,0.7778,0.8333,0.9091,0.8556,0.8494,0.1201,7,2,0,10
5,0.8421,0.8333,1.0000,0.6667,0.7692,0.8696,0.9000,0.9165,0.1309,6,3,0,10
7,0.8421,0.8389,0.9000,0.7778,0.8182,0.8571,0.8556,0.8629,0.1498,7,2,1,9
13,0.8947,0.8889,1.0000,0.7778,0.8333,0.9091,0.9667,0.9698,0.0730,7,2,0,10
21,0.8421,0.8333,1.0000,0.6667,0.7692,0.8696,0.9444,0.9430,0.1409,6,3,0,10
42,0.8947,0.8889,1.0000,0.7778,0.8333,0.9091,0.9111,0.8988,0.1099,7,2,0,10
