state,channel,channel_index,frequency_hz,frequency_bin,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,C6,30,0.5,0,Delta,0.001826081667868273,0.0018418878917175144,0.024598312951898706,190,8.598077968406618e-06,0.0038788765736609675,0.0022003832868411105
EO,F5,6,1.5,2,Delta,-0.001443686719953443,0.0017270988394802204,0.006699871185760748,190,0.00028292141408083933,0.00333174042325731,0.0014726421658452819
EO,T7,23,3.0,5,Delta,-0.001363521802830433,0.0016490489843757887,0.005884684526950172,190,0.0003391852889671602,0.003104453090385376,0.0014248371162866405
EO,FPZ,1,41.0,81,Gamma,-0.0014280989997342028,0.0016351308696399228,0.00639541790131404,190,0.00016868289699911666,0.003264517505907485,0.0019071973587044791
EO,FPZ,1,40.5,80,Gamma,-0.0013161182898073819,0.0015849520143611175,0.006066378634400813,190,0.00019886647356767665,0.0031250470596871634,0.0018297115250834402
EO,TP7,32,24.0,47,Beta High,-0.001005598424136989,0.0015708426349335663,0.0029809539225278455,190,0.0008269019924682258,0.002397443348783945,0.0015077130050565417
EO,TP7,32,44.5,88,Gamma,-0.0012232067110870084,0.0015599621564989633,0.0031018293311811133,190,0.0013106540244018077,0.0018369711921624693,0.0014901319963057434
EO,F5,6,2.0,3,Delta,-0.0012908146951492404,0.0015589049029498955,0.005922744016097021,190,0.0003356905200524451,0.0029180319950581736,0.0014090701736726176
EO,FC5,15,3.5,6,Delta,-0.0011767465099565954,0.0015306377082627775,0.00531580964671078,190,0.0003654239751903901,0.002825319633898764,0.0013552384497352659
EO,TP7,32,43.5,86,Gamma,-0.0010896405977339314,0.0015270545720723607,0.002680255024682169,190,0.0014006187782160497,0.0016675387874682617,0.0015109942864309442
EO,TP7,32,23.5,46,Beta High,-0.0009930081094412992,0.0015268702590494462,0.002665605099835169,190,0.0009948990655720574,0.0021179493629132112,0.001508994985868876
EO,TP7,32,45.0,89,Gamma,-0.0010337979436470463,0.0015150138622411257,0.002604841220879368,190,0.0014527460529279409,0.0015842003170335535,0.0014536115109406711
EO,TP7,32,25.0,49,Beta High,-0.0009992551765004704,0.001512958404329102,0.003194810554184184,190,0.0008037555451391659,0.0023009615812068086,0.0013987400856029794
EO,TP7,32,37.0,73,Gamma,-0.0010784387895975919,0.0015122935885594322,0.0027405343263503033,190,0.0012426284085085648,0.0018119215663937292,0.0014603441250309506
EO,TP7,32,44.0,87,Gamma,-0.0011395679607547028,0.0015092716891534329,0.0028830681550310825,190,0.0013681447695489191,0.0016660793776028927,0.0014065449100261038
EO,TP7,32,41.0,81,Gamma,-0.001108998353504363,0.0014944423340424208,0.0026221434509144416,190,0.001207413593692718,0.0018133631566532018,0.0014584233679108
EO,FPZ,1,24.0,47,Beta High,-0.0012806220381055282,0.0014885648773808953,0.005847256299003501,190,0.0002001540290671947,0.00292013248661834,0.0017403885297918708
EO,TP7,32,40.5,80,Gamma,-0.0011110992731591602,0.001477980942504551,0.0026517218600429376,190,0.0012242952169287536,0.0017598539709221036,0.0014180165858098523
EO,FPZ,1,41.5,82,Gamma,-0.0012702260809192027,0.0014754352899360704,0.005550504938305353,190,0.00017085558372398484,0.002924968296838387,0.0016893362291235717
EO,TP7,32,43.0,85,Gamma,-0.0010759703723064458,0.001475171060776891,0.0027443379591124187,190,0.0015018928538665483,0.0014454801795661608,0.0014378822184900452
EO,TP7,32,23.0,45,Beta High,-0.0009622458975029095,0.001467754782922682,0.0025766788887731334,190,0.0009003241233949308,0.0020982332935090718,0.0014457719623562585
