state,band,band_index,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution
EC,Alpha,2,-6.285950122094551e-05,0.0010341838731249236,0.0012669719302476337,359290,0.0008216879779765001,0.0012702904232898388,0.0010373196077269563
EC,Beta High,5,0.0002727889255762545,0.0014152216643242203,0.0015808474031624165,359290,0.0012983218048263569,0.001545110397099624,0.0014730820232226687
EC,Beta Low,3,0.000464398998584261,0.0013068880436560247,0.001978579916426462,359290,0.001407825192000617,0.0011947356566064777,0.0012250169144182904
EC,Beta Medium,4,-0.0004946041223229652,0.0013101224910828828,0.0018341368645650672,359290,0.0013583094980653284,0.001256581372213499,0.001377266770071543
EC,Delta,0,0.00020998281519851053,0.0009160151300166884,0.001195845555223775,359290,0.0009227378865798096,0.0009085454005021095,0.0009114684707659844
EC,Theta,1,2.1174399886550093e-05,0.0009666630417479018,0.0011444527544674887,359290,0.0009617585061738078,0.0009721125257191172,0.0009936349405623827
EO,Alpha,2,-8.777321189994466e-06,1.2537451187736204e-05,2.4231396900904174e-05,359290,9.772815979823441e-06,1.560926808541705e-05,1.0732361982810522e-05
EO,Beta High,5,1.7953137677472565e-06,1.7143360685210802e-05,3.3044733147909336e-05,359290,1.4753012019831417e-05,1.9799303646743455e-05,1.4844276245379945e-05
EO,Beta Low,3,1.6851011449255494e-06,9.217832315971503e-06,2.2635478696195092e-05,359290,8.977723644293992e-06,9.484619728946515e-06,7.669061272797995e-06
EO,Beta Medium,4,3.849459458100211e-07,7.356367883643193e-06,1.8067875150891864e-05,359290,7.137057763368826e-06,7.600045795059156e-06,6.5460720765877975e-06
EO,Delta,0,3.406777947608422e-06,1.1201310138835969e-05,2.36780020430879e-05,359290,1.0688198007293526e-05,1.1771434729438684e-05,9.688582328019606e-06
EO,Theta,1,-7.684524336263714e-07,1.3118076261032888e-05,2.590443213106055e-05,359290,1.1462972899130993e-05,1.4957079996479438e-05,1.1825660924951708e-05
