network_group,band,mean_abs_attribution,mean_signed_attribution,n_edges
central,Alpha,0.0004986185781494279,-5.5364230770010476e-05,240
central,Beta High,0.0007274673900409915,0.00015757870795586989,240
central,Beta Low,0.0006609482787554592,0.00020151552634324244,240
central,Beta Medium,0.0006430029031751996,-0.0002152683702036108,240
central,Delta,0.0004587989206137929,0.00011494318801018724,240
central,Theta,0.0004537737588578089,2.20003642313508e-05,240
central|frontal,Alpha,0.0005215073850597343,-9.633067303860589e-06,736
central|frontal,Beta High,0.0007435997356138282,0.00013914339164891818,736
central|frontal,Beta Low,0.0006407241138917337,0.00020352768459160867,736
central|frontal,Beta Medium,0.0006509006051545753,-0.00021985207868609305,736
central|frontal,Delta,0.0004530381042361823,0.00011752893650553743,736
central|frontal,Theta,0.0004993734225827884,-3.473479556554993e-06,736
central|occipital,Alpha,0.0004955534891794151,-8.747437456202228e-05,96
central|occipital,Beta High,0.0007146970766831413,0.00020954973496629224,96
central|occipital,Beta Low,0.0006408544076269492,0.0002805460492551153,96
central|occipital,Beta Medium,0.000584315095148484,-0.00017738139076592635,96
central|occipital,Delta,0.0004541280861820891,8.816658292251113e-05,96
central|occipital,Theta,0.00043780077611621065,2.9536784776075748e-05,96
central|parietal,Alpha,0.0005191616146213969,-4.328513872121839e-05,512
central|parietal,Beta High,0.000695476687450446,0.0001685279325931441,512
central|parietal,Beta Low,0.0006639831546090546,0.0002458077935522774,512
central|parietal,Beta Medium,0.0006680465148683243,-0.00026914113372766515,512
central|parietal,Delta,0.0004831342089895442,0.00011554944421101717,512
central|parietal,Theta,0.0004905275627911118,2.7894260118401e-06,512
central|temporal,Alpha,0.0005314927142989662,-4.772926260641233e-05,128
central|temporal,Beta High,0.0007387827655332886,0.000145467833817814,128
central|temporal,Beta Low,0.0006465556773478613,0.0002112579361941887,128
central|temporal,Beta Medium,0.0005802929914735523,-0.00014050964455433293,128
central|temporal,Delta,0.0004545972836325076,9.544684723892634e-05,128
central|temporal,Theta,0.0005082539557603313,2.022785426669184e-05,128
frontal,Alpha,0.0005311461482312428,-1.3210328027021284e-05,506
frontal,Beta High,0.0007231587774202984,0.00013026364805525278,506
frontal,Beta Low,0.000644669582236216,0.0001533238153325966,506
frontal,Beta Medium,0.0006616165357087676,-0.00022975499297241578,506
frontal,Delta,0.00045611208499422346,0.00010944500334356518,506
frontal,Theta,0.0005048770847322716,-5.4319042740289694e-05,506
frontal|occipital,Alpha,0.0005230037574137675,-6.593986068015886e-05,138
frontal|occipital,Beta High,0.0007262326760080237,0.00011124662338969212,138
frontal|occipital,Beta Low,0.0007074568015647935,0.00031801419106757196,138
frontal|occipital,Beta Medium,0.0006723232044123998,-0.0002765907740653311,138
frontal|occipital,Delta,0.0004639190800859419,9.243633382741125e-05,138
frontal|occipital,Theta,0.0005394079425142499,2.8291646419560174e-05,138
frontal|parietal,Alpha,0.0005280177653521103,-4.083924485409272e-05,736
frontal|parietal,Beta High,0.0007092784341487836,9.51642196229075e-05,736
frontal|parietal,Beta Low,0.0006888237535065023,0.00026832224475656,736
frontal|parietal,Beta Medium,0.0007142930900014856,-0.00033131096921639206,736
frontal|parietal,Delta,0.00046684192542344253,9.819767123335337e-05,736
frontal|parietal,Theta,0.0004949306763981606,3.6190584325812255e-05,736
frontal|temporal,Alpha,0.0005149786057442024,1.0702343924965934e-06,184
frontal|temporal,Beta High,0.0007150269648430876,0.00016939924212951564,184
frontal|temporal,Beta Low,0.000654233515188641,0.00019369897101356487,184
frontal|temporal,Beta Medium,0.0006368805447097602,-0.00018433070485912996,184
frontal|temporal,Delta,0.00043681972103703907,7.898779528667855e-05,184
frontal|temporal,Theta,0.0004998907375274801,-2.726691955087371e-06,184
occipital,Alpha,0.00042287925451831975,-4.80281908307718e-05,6
occipital,Beta High,0.0005275849193526475,0.00015796129247017286,6
occipital,Beta Low,0.00043488301635862914,0.0002437823762022575,6
occipital,Beta Medium,0.0004504736017022243,-0.00012182936925882826,6
occipital,Delta,0.0004711221677042516,4.832977486152635e-05,6
occipital,Theta,0.0004445173232771491,0.00016674942450070252,6
occipital|parietal,Alpha,0.0005499757500491278,-0.00012766623038389663,96
occipital|parietal,Beta High,0.0006670136341233429,0.00017700784060282213,96
occipital|parietal,Beta Low,0.0006038895435913681,0.000296172304255958,96
occipital|parietal,Beta Medium,0.0005920568907534348,-0.00019221886944545915,96
occipital|parietal,Delta,0.0005200438107514089,0.00010702022972630143,96
occipital|parietal,Theta,0.00048724598332099,4.8199233842320884e-05,96
occipital|temporal,Alpha,0.0005294468823400434,-0.00016594446742314328,24
occipital|temporal,Beta High,0.0007122678139886329,0.00014119693555622964,24
