state,band,channel,node_importance,mean_signed_attribution
EC,Beta High,F8,0.0015950736230714872,0.0003426978631599492
EC,Beta High,FC4,0.001565195186308757,0.00023000011184027465
EC,Beta High,FC6,0.0015598538960651285,0.00015134571588963007
EC,Beta High,F4,0.0015429404038645117,0.00024949008601657136
EC,Beta Medium,F8,0.001534248898855575,-0.0007139777598788692
EC,Beta High,C2,0.0015274297905128627,0.00015161071419095908
EC,Beta Medium,P2,0.0015274002875298402,-0.000719407384035494
EC,Beta High,C3,0.0015227655491045346,0.0003887405652986313
EC,Beta Medium,PZ,0.0015214264660573717,-0.0006528057860636325
EC,Beta High,FC2,0.0015203503949495834,0.00022236320690499365
EC,Beta High,C4,0.0015074689927924406,0.0002140152271779565
EC,Beta High,F6,0.0015001975766224728,0.0002514690908996716
EC,Beta High,CP4,0.0014960867043346694,0.00035437448289120876
EC,Beta Medium,AF4,0.001493037644520652,-0.000669110112721657
EC,Beta High,FC3,0.0014801902681599215,0.00038362414105191564
EC,Beta High,F1,0.001472554087593488,0.00032331084015838497
EC,Beta High,C5,0.0014703731456864116,0.0002551959467599949
EC,Beta High,TP7,0.0014623480350611385,0.0003664809390980452
EC,Beta Medium,FP2,0.0014565095276115163,-0.0006646186892595104
EC,Beta Medium,FC6,0.0014522960222837372,-0.000591954865349311
EC,Beta High,T7,0.0014491256191950673,0.00026676698669036167
EC,Beta High,FCZ,0.001447613683173808,0.00030020815482916506
EC,Beta High,O1,0.001444706022190015,0.0002533775125304678
EC,Beta Medium,F6,0.00144178898426152,-0.0006054111641510093
EC,Beta High,F2,0.0014416225097829956,0.00027269539630575144
EC,Beta High,FZ,0.0014401455855857193,0.0002860813388654521
EC,Beta High,CZ,0.0014399949635856323,0.00037604692532107605
EC,Beta High,TP8,0.0014395574412649232,0.0002993879067575437
EC,Beta Medium,F7,0.001439221199552914,-0.0005245725701793428
EC,Beta High,CP6,0.0014385991731081884,0.00028635394706466783
EC,Beta High,C6,0.0014383811732831598,0.00027211963098422426
EC,Beta Medium,F2,0.0014343948714436684,-0.0005567361494141293
EC,Beta Medium,P1,0.0014324122360832533,-0.0005250921101577201
EC,Beta High,P8,0.0014308506094927512,0.0002791927720492474
EC,Beta High,CP2,0.0014271382967321945,0.00021937413214590836
EC,Beta High,FT7,0.0014243832135829838,0.0003269748211699873
EC,Beta High,PO7,0.0014239687447253056,0.00032311654414252246
EC,Beta Medium,P4,0.0014226372040337064,-0.000637712194717476
EC,Beta Low,FP1,0.0014159965679397472,0.00047041534625263747
EC,Beta High,CB1,0.0014139630057558945,0.00029493644040252736
EC,Beta High,CP3,0.001411649003079755,0.0003819218160510153
EC,Beta Medium,F4,0.0014113818655285418,-0.0005759872166141783
EC,Beta High,FC1,0.0014082502513713367,0.00032830017411057834
EC,Beta High,P6,0.0014050842205856101,0.00031421436992704277
EC,Beta High,CP5,0.0014006958463823767,0.0002626927662454548
EC,Beta High,PO5,0.001400025707073789,0.0003113509580503665
EC,Beta High,P2,0.0013955282442623196,0.00010189566104408876
EC,Beta High,P4,0.0013944816627498614,0.00021263288915595216
EC,Beta High,FC5,0.0013921541093809778,0.0002507897040908291
EC,Beta High,O2,0.001391728816192405,0.0003966751917882222
EC,Beta Medium,FT8,0.0013908096333746618,-0.0004942717474641985
EC,Beta Low,FZ,0.0013907104289718152,0.00045488843822528557
EC,Beta Low,F4,0.0013904207816286987,0.0004396302190865334
EC,Beta High,P5,0.001389179523205639,0.0002457937159166747
EC,Beta High,T8,0.0013872518277663205,0.0003199586257122685
EC,Beta High,CB2,0.001384196744431776,0.00034045551947341413
EC,Beta High,F7,0.0013830286222646763,0.00017000280625881903
EC,Beta Medium,FPZ,0.0013803030852874993,-0.0005708248721611758
EC,Beta High,FPZ,0.0013747511640706965,0.0001266237867460689
EC,Beta Low,CP6,0.0013741634720571055,0.000536779796263462
EC,Beta Low,FC2,0.0013739722331297605,0.0004395115480453278
EC,Beta Medium,P5,0.0013733430874568796,-0.0006677051368437308
EC,Beta High,P7,0.001371789577218132,0.0003664360601914712
EC,Beta Low,P2,0.0013712281319964207,0.0004362738248817105
EC,Beta High,C1,0.001369313302838606,0.0004701818260489711
EC,Beta Low,FCZ,0.001369016585350241,0.0004433400407040792
EC,Beta High,PO3,0.001368575437932371,0.0002770546258964849
EC,Beta Low,P3,0.0013677748515455582,0.0005097980452686137
EC,Beta High,AF4,0.0013666654310267514,0.00015956984531438737
EC,Beta High,POZ,0.0013661352123244693,0.00016358778389744766
EC,Beta Low,CP3,0.0013658583013720332,0.00046989127380131095
EC,Beta Low,P1,0.0013640760552911127,0.0005324272294798293
EC,Beta Medium,CP2,0.0013636481479723235,-0.0006272377927382775
EC,Beta Medium,P3,0.00136355163054734,-0.0006097230231885148
EC,Beta High,PO8,0.0013584296716959267,0.00028370703146121407
EC,Beta Low,F2,0.0013549055247834185,0.0004573353761491102
EC,Beta High,P3,0.001354554620814148,0.00021555575843005105
EC,Beta High,AF3,0.0013540093399920874,0.0002007849601217842
