feature_id,k,n_selected,n_seeds,selection_frequency
EC|F4-C5|Beta High,10,3,10,0.3
EC|F8-CP1|Beta High,10,3,10,0.3
EC|F8-FC4|Beta High,10,3,10,0.3
EC|F8-P3|Beta Medium,10,3,10,0.3
EC|F8-P5|Beta Medium,10,3,10,0.3
EC|AF4-FC5|Beta Medium,10,2,10,0.2
EC|C5-P2|Beta Medium,10,2,10,0.2
EC|CP2-CP6|Beta Low,10,2,10,0.2
EC|CP4-CB1|Beta High,10,2,10,0.2
EC|F4-C3|Beta High,10,2,10,0.2
EC|F8-C6|Beta Medium,10,2,10,0.2
EC|F8-CP2|Beta Medium,10,2,10,0.2
EC|F8-CP3|Beta Medium,10,2,10,0.2
EC|F8-CP4|Beta Medium,10,2,10,0.2
EC|FP2-P2|Beta Medium,10,2,10,0.2
EC|FT7-P2|Beta Medium,10,2,10,0.2
EC|AF4-F7|Beta Medium,10,1,10,0.1
EC|AF4-FC1|Beta Medium,10,1,10,0.1
EC|C3-C4|Beta High,10,1,10,0.1
EC|C3-O1|Beta High,10,1,10,0.1
EC|C3-P6|Beta High,10,1,10,0.1
EC|C5-C4|Beta High,10,1,10,0.1
EC|C5-CB2|Beta High,10,1,10,0.1
EC|C5-P4|Beta Medium,10,1,10,0.1
EC|C6-PO5|Beta Medium,10,1,10,0.1
EC|C6-PO7|Beta Medium,10,1,10,0.1
EC|C6-TP7|Beta High,10,1,10,0.1
EC|CP2-CP4|Beta Low,10,1,10,0.1
EC|CP2-CP4|Beta Medium,10,1,10,0.1
EC|CP4-O1|Beta High,10,1,10,0.1
EC|CZ-C6|Beta High,10,1,10,0.1
EC|F1-C2|Beta High,10,1,10,0.1
EC|F2-O1|Beta Medium,10,1,10,0.1
EC|F3-C4|Beta High,10,1,10,0.1
EC|F3-FC3|Theta,10,1,10,0.1
EC|F3-FC4|Beta High,10,1,10,0.1
EC|F3-FZ|Beta High,10,1,10,0.1
EC|F4-CB1|Beta Medium,10,1,10,0.1
EC|F4-O1|Beta Medium,10,1,10,0.1
EC|F6-F8|Beta Medium,10,1,10,0.1
EC|F6-FC2|Beta High,10,1,10,0.1
EC|F6-FC5|Beta High,10,1,10,0.1
