model,model_family,features,status,skip_reason,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,roc_auc,pr_auc,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,brier_score_ci_low,brier_score_ci_high,normalized_copy_note
ML_EEG_updated_no_selector_gaussian_nb,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.3684210526315789,0.6333333333333334,0.6105263157894736,0.4210526315789473,0.8421052631578947,0.4222222222222222,0.8501785714285712,0.2857142857142857,0.9002272727272725,0.3333333333333333,1.0,0.4222222222222223,0.8501785714285712,0.3583959899749373,0.8785425101214575,0.1578947368421052,0.5789473684210527,Generated because clinical_baseline_model_comparison.csv was missing; contains current updated PSD+WPLI ML reference rows from eeg_reference_model_comparison.csv.
ML_EEG_updated_no_selector_knn,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.4736842105263157,0.4611111111111111,0.7,0.2222222222222222,0.5,0.5833333333333334,0.3040935672514619,0.6833333333333333,0.7651315789473684,0.2631578947368421,0.6842105263157895,0.25,0.6722222222222223,0.41625,1.0,0.0,0.5555555555555556,0.4219345238095238,0.9376041666666666,0.5107203670942061,0.9526315789473684,0.1695906432748538,0.4444444444444445,Generated because clinical_baseline_model_comparison.csv was missing; contains current updated PSD+WPLI ML reference rows from eeg_reference_model_comparison.csv.
ML_EEG_updated_no_selector_logistic_l1,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.2080008975512415,0.7111111111111112,0.7754058441558441,0.5263157894736842,0.8960526315789462,0.5165705128205128,0.9166666666666669,0.5,1.0,0.3,1.0,0.4332954545454545,0.9333333333333332,0.5397310287751463,0.9620687134502924,0.1396137778049919,0.2895639671661388,Generated because clinical_baseline_model_comparison.csv was missing; contains current updated PSD+WPLI ML reference rows from eeg_reference_model_comparison.csv.
ML_EEG_updated_no_selector_logistic_l2,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.6842105263157895,0.6888888888888889,0.6,0.7777777777777778,0.75,0.6666666666666666,0.2214181508049306,0.7777777777777778,0.8397209653092005,0.4736842105263157,0.8947368421052632,0.477245670995671,0.8846153846153846,0.2857142857142857,0.9002272727272725,0.5,1.0,0.5555555555555556,0.9555555555555556,0.6170483193277311,0.975763146167558,0.0995069342851503,0.3533398193110507,Generated because clinical_baseline_model_comparison.csv was missing; contains current updated PSD+WPLI ML reference rows from eeg_reference_model_comparison.csv.
ML_EEG_updated_no_selector_random_forest,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.3157894736842105,0.3,0.6,0.0,0.4,0.48,0.2709644736842104,0.3777777777777777,0.5090115418637091,0.1052631578947368,0.5263157894736842,0.1498214285714285,0.4444444444444444,0.2996428571428571,0.8888888888888888,0.0,0.0,0.1332738095238095,0.6716300366300365,0.3040403921736158,0.8395190433348327,0.2415559539473684,0.2995545394736842,Generated because clinical_baseline_model_comparison.csv was missing; contains current updated PSD+WPLI ML reference rows from eeg_reference_model_comparison.csv.
ML_EEG_updated_no_selector_svm_linear,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.2507348722963763,0.6666666666666667,0.6665509928667823,0.4210526315789473,0.8421052631578947,0.4222222222222222,0.8501785714285712,0.2857142857142857,0.9002272727272725,0.3333333333333333,1.0,0.3996590909090909,0.9090909090909092,0.4214552333631281,0.9540768700995972,0.1761429944748649,0.3346661318633874,Generated because clinical_baseline_model_comparison.csv was missing; contains current updated PSD+WPLI ML reference rows from eeg_reference_model_comparison.csv.
ML_EEG_updated_no_selector_svm_rbf,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.2105263157894736,0.2,0.4,0.0,0.3076923076923077,0.3478260869565217,0.3086499585572395,0.1444444444444444,0.3938633128996905,0.0526315789473684,0.4210526315789473,0.0498863636363636,0.3571428571428571,0.0997727272727272,0.7142857142857143,0.0,0.0,0.0,0.3637121212121211,0.2291309487976477,0.6809852457021426,0.2803423940672375,0.3399236791032754,Generated because clinical_baseline_model_comparison.csv was missing; contains current updated PSD+WPLI ML reference rows from eeg_reference_model_comparison.csv.
ML_EEG_updated_selectk100_gaussian_nb,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; SelectK=100 inside LOSO folds,reference,,0.5263157894736842,0.5333333333333333,0.4,0.6666666666666666,0.5714285714285714,0.4705882352941176,0.4736842105263134,0.6222222222222222,0.601017316017316,0.3157894736842105,0.7368421052631579,0.3166025641025641,0.7501420454545453,0.1,0.7272727272727273,0.3326923076923077,1.0,0.3333333333333333,0.8693907828282829,0.3645494378306879,0.9071626984126984,0.2631578947368398,0.6842105263157873,Generated because clinical_baseline_model_comparison.csv was missing; contains current updated PSD+WPLI ML reference rows from eeg_reference_model_comparison.csv.
ML_EEG_updated_selectk100_knn,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; SelectK=100 inside LOSO folds,reference,,0.631578947368421,0.6166666666666667,0.9,0.3333333333333333,0.6,0.72,0.3333333333333333,0.6055555555555556,0.5838888888888889,0.4210526315789473,0.8421052631578947,0.4230113636363636,0.8,0.6666666666666666,1.0,0.0,0.6666666666666666,0.35,0.8333333333333334,0.3405292312606554,0.8523409363745498,0.152046783625731,0.514766081871345,Generated because clinical_baseline_model_comparison.csv was missing; contains current updated PSD+WPLI ML reference rows from eeg_reference_model_comparison.csv.
ML_EEG_updated_selectk100_logistic_l1,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; SelectK=100 inside LOSO folds,reference,,0.4736842105263157,0.4722222222222222,0.5,0.4444444444444444,0.5,0.5,0.3068675593658492,0.4444444444444444,0.5495546038928392,0.2631578947368421,0.6842105263157895,0.2443181818181818,0.6934117965367963,0.1818181818181818,0.8,0.125,0.7783333333333329,0.1666666666666666,0.7437499999999998,0.334180811966395,0.8435839166176204,0.2105157534089795,0.4102272173709309,Generated because clinical_baseline_model_comparison.csv was missing; contains current updated PSD+WPLI ML reference rows from eeg_reference_model_comparison.csv.
