contrast,model_key,source_file,interpretation,reproduce_command,availability,row_type,accuracy,balanced_accuracy,roc_auc,pr_auc,brier_score,sensitivity,specificity
a_ml_psd_wpli_baseline,ML PSD+WPLI Logistic L1,paper_locked_model_performance.csv,"Traditional PSD+WPLI baseline; no CNN, no SSL, no residual-aware objectives.",python -B scripts/04_train_ml_baselines.py --feature-set psd-fc-wpli --disable-selector --output-tag updated_sub05_sub28_psdfcwpli_no_selector,available,reported,0.7368421052631579,0.7333333333333334,0.7111111111111112,0.7754058441558441,0.2080008975512415,0.8,0.6666666666666666
b_no_ssl_cnn_same_arch_10seed,no-SSL CNN same architecture,no_ssl_psdfcwpli_gated_cnn_rerun_20260531_10seed_summary.csv,CNN architecture contribution over traditional ML.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group standard_no_ssl_bce --seeds 0 1 2 3 4 5 7 13 21 42,available,mean,0.7947368421052631,0.7861111111111111,0.8055555555555557,0.7840052023140258,0.1890881282584349,0.95,0.6222222222222223
b_no_ssl_cnn_same_arch_10seed,no-SSL CNN same architecture,no_ssl_psdfcwpli_gated_cnn_rerun_20260531_10seed_summary.csv,CNN architecture contribution over traditional ML.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group standard_no_ssl_bce --seeds 0 1 2 3 4 5 7 13 21 42,available,std,0.072356458341408,0.0729556773952344,0.0766988660240991,0.0925339323089245,0.0385329986709039,0.0670820393249936,0.0888888888888888
b_no_ssl_cnn_same_arch_10seed,no-SSL CNN same architecture,no_ssl_psdfcwpli_gated_cnn_rerun_20260531_10seed_summary.csv,CNN architecture contribution over traditional ML.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group standard_no_ssl_bce --seeds 0 1 2 3 4 5 7 13 21 42,available,min,0.631578947368421,0.6222222222222222,0.6888888888888889,0.625465367965368,0.1353494817401182,0.8,0.4444444444444444
b_no_ssl_cnn_same_arch_10seed,no-SSL CNN same architecture,no_ssl_psdfcwpli_gated_cnn_rerun_20260531_10seed_summary.csv,CNN architecture contribution over traditional ML.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group standard_no_ssl_bce --seeds 0 1 2 3 4 5 7 13 21 42,available,max,0.8947368421052632,0.8888888888888888,0.9444444444444444,0.9558119658119658,0.2702071795291572,1.0,0.7777777777777778
b_no_ssl_cnn_same_arch_10seed,no-SSL CNN same architecture,no_ssl_psdfcwpli_gated_cnn_rerun_20260531_10seed_summary.csv,CNN architecture contribution over traditional ML.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group standard_no_ssl_bce --seeds 0 1 2 3 4 5 7 13 21 42,available,seedmean10,0.8421052631578947,0.8333333333333333,0.8222222222222223,0.7897008547008547,0.1710740861697086,1.0,0.6666666666666666
c_patient_barlow_ssl_no_residual_heads,Patient-level Barlow SSL without residual-aware heads,updated_sub05_sub28_10seed_no_ssl_barlow_cnn_summary.csv,Patient-level SSL contribution before residual-aware auxiliary training.,python -B scripts/29_train_patient_barlow_stabilized.py --seeds 0 1 2 3 4 5 7 13 21 42,available,mean,0.7526315789473684,0.7416666666666667,0.7388888888888888,0.7193753599341834,,0.95,0.5333333333333334
c_patient_barlow_ssl_no_residual_heads,Patient-level Barlow SSL without residual-aware heads,updated_sub05_sub28_10seed_no_ssl_barlow_cnn_summary.csv,Patient-level SSL contribution before residual-aware auxiliary training.,python -B scripts/29_train_patient_barlow_stabilized.py --seeds 0 1 2 3 4 5 7 13 21 42,available,std,0.0528940822164257,0.0550672988933305,0.0431048105361573,0.076128207311076,,0.0499999999999999,0.1088662107903634
c_patient_barlow_ssl_no_residual_heads,Patient-level Barlow SSL without residual-aware heads,updated_sub05_sub28_10seed_no_ssl_barlow_cnn_summary.csv,Patient-level SSL contribution before residual-aware auxiliary training.,python -B scripts/29_train_patient_barlow_stabilized.py --seeds 0 1 2 3 4 5 7 13 21 42,available,min,0.6842105263157895,0.6666666666666666,0.6777777777777778,0.6242932067932068,,0.9,0.3333333333333333
c_patient_barlow_ssl_no_residual_heads,Patient-level Barlow SSL without residual-aware heads,updated_sub05_sub28_10seed_no_ssl_barlow_cnn_summary.csv,Patient-level SSL contribution before residual-aware auxiliary training.,python -B scripts/29_train_patient_barlow_stabilized.py --seeds 0 1 2 3 4 5 7 13 21 42,available,max,0.8421052631578947,0.8333333333333333,0.7999999999999999,0.8515508021390373,,1.0,0.6666666666666666
c_patient_barlow_ssl_no_residual_heads,Patient-level Barlow SSL without residual-aware heads,updated_sub05_sub28_10seed_no_ssl_barlow_cnn_summary.csv,Patient-level SSL contribution before residual-aware auxiliary training.,python -B scripts/29_train_patient_barlow_stabilized.py --seeds 0 1 2 3 4 5 7 13 21 42,available,ensemble10,0.7894736842105263,0.7777777777777778,0.7000000000000001,0.6309598734598736,,1.0,0.5555555555555556
d_no_ssl_cnn_residual_heads,no-SSL CNN + residual-aware auxiliary heads,no_ssl_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Residual-aware objective contribution without SSL pretraining.,python -B scripts/30_train_residual_aware_patient_barlow.py --no-ssl --model-group no_ssl_residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,mean,0.8157894736842106,0.8122222222222222,0.8988888888888888,0.9084416416916417,0.1304241654363616,0.8800000000000001,0.7444444444444445
d_no_ssl_cnn_residual_heads,no-SSL CNN + residual-aware auxiliary heads,no_ssl_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Residual-aware objective contribution without SSL pretraining.,python -B scripts/30_train_residual_aware_patient_barlow.py --no-ssl --model-group no_ssl_residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,std,0.0447282413473051,0.0436503126476624,0.0472712164137392,0.0524721292550852,0.0297694204887391,0.0788810637746615,0.0536717657266275
d_no_ssl_cnn_residual_heads,no-SSL CNN + residual-aware auxiliary heads,no_ssl_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Residual-aware objective contribution without SSL pretraining.,python -B scripts/30_train_residual_aware_patient_barlow.py --no-ssl --model-group no_ssl_residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,min,0.7368421052631579,0.7333333333333334,0.8111111111111111,0.807983682983683,0.0799961509697407,0.8,0.6666666666666666
d_no_ssl_cnn_residual_heads,no-SSL CNN + residual-aware auxiliary heads,no_ssl_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Residual-aware objective contribution without SSL pretraining.,python -B scripts/30_train_residual_aware_patient_barlow.py --no-ssl --model-group no_ssl_residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,max,0.8947368421052632,0.8888888888888888,0.9666666666666668,0.9769230769230768,0.1766781979022564,1.0,0.7777777777777778
d_no_ssl_cnn_residual_heads,no-SSL CNN + residual-aware auxiliary heads,no_ssl_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Residual-aware objective contribution without SSL pretraining.,python -B scripts/30_train_residual_aware_patient_barlow.py --no-ssl --model-group no_ssl_residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,seedmean10,0.8947368421052632,0.8888888888888888,0.9222222222222224,0.9272546897546896,0.1104828985960199,1.0,0.7777777777777778
e_patient_barlow_ssl_residual_heads,Patient-level Barlow SSL + residual-aware auxiliary heads,patient_barlow_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Final combined SSL plus residual-aware training contribution.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,mean,0.8368421052631578,0.8305555555555555,0.86,0.8584921744921743,0.1415899918315827,0.95,0.711111111111111
e_patient_barlow_ssl_residual_heads,Patient-level Barlow SSL + residual-aware auxiliary heads,patient_barlow_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Final combined SSL plus residual-aware training contribution.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,std,0.0388349888090853,0.0389549703110418,0.0529513066686267,0.058455272304842,0.0241069832248661,0.0527046276694729,0.0573775310549247
e_patient_barlow_ssl_residual_heads,Patient-level Barlow SSL + residual-aware auxiliary heads,patient_barlow_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Final combined SSL plus residual-aware training contribution.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,min,0.7894736842105263,0.7833333333333333,0.7555555555555555,0.7528646353646353,0.1099112495740876,0.9,0.6666666666666666
e_patient_barlow_ssl_residual_heads,Patient-level Barlow SSL + residual-aware auxiliary heads,patient_barlow_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Final combined SSL plus residual-aware training contribution.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,max,0.8947368421052632,0.8888888888888888,0.9555555555555556,0.9572979797979796,0.1962738624833147,1.0,0.7777777777777778
e_patient_barlow_ssl_residual_heads,Patient-level Barlow SSL + residual-aware auxiliary heads,patient_barlow_residualaware_highrank_swa_clsalpha1_10seed_summary.csv,Final combined SSL plus residual-aware training contribution.,python -B scripts/30_train_residual_aware_patient_barlow.py --model-group residualaware_highrank_swa_clsalpha1 --seeds 0 1 2 3 4 5 7 13 21 42,available,seedmean10,0.8421052631578947,0.8333333333333333,0.8444444444444444,0.836024531024531,0.1258868548462043,1.0,0.6666666666666666
f_final_without_swa,Residual-aware SSL-CNN without SWA,patient_barlow_residualaware_highrank_10seed_summary.csv,SWA contribution.,python -B scripts/30_train_residual_aware_patient_barlow.py --disable-swa --model-group residualaware_highrank --seeds 0 1 2 3 4 5 7 13 21 42,missing,missing,,,,,,,
g_without_residual_regression_loss,Residual-aware SSL-CNN without residual regression loss,patient_barlow_residualaware_variant_10seed_comparison.csv,Residual regression auxiliary loss contribution.,python -B scripts/30_train_residual_aware_patient_barlow.py --residual-regression-weight 0 --seeds 0 1 2 3 4 5 7 13 21 42,missing_row,missing,,,,,,,
