model,model_family,input_features,feature_selection,n_subjects,n_positive,n_negative,status,skip_reason,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,roc_auc,pr_auc
eeg_only_gaussian_nb_none,eeg_only,PSD+WPLI EO+EC,none,19,10,9,reference,,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.3684210526315789,0.6333333333333334,0.6105263157894736
eeg_only_gaussian_nb_selectk100,eeg_only,PSD+WPLI EO+EC,selectk100,19,10,9,reference,,0.5263157894736842,0.5333333333333333,0.4,0.6666666666666666,0.5714285714285714,0.47058823529411764,0.47368421052631343,0.6222222222222222,0.601017316017316
eeg_only_knn_none,eeg_only,PSD+WPLI EO+EC,none,19,10,9,reference,,0.47368421052631576,0.4611111111111111,0.7,0.2222222222222222,0.5,0.5833333333333334,0.30409356725146197,0.6833333333333333,0.7651315789473684
eeg_only_knn_selectk100,eeg_only,PSD+WPLI EO+EC,selectk100,19,10,9,reference,,0.631578947368421,0.6166666666666667,0.9,0.3333333333333333,0.6,0.72,0.3333333333333333,0.6055555555555556,0.5838888888888889
eeg_only_logistic_l1_none,eeg_only,PSD+WPLI EO+EC,none,19,10,9,reference,,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.20800089755124154,0.7111111111111112,0.7754058441558441
eeg_only_logistic_l1_selectk100,eeg_only,PSD+WPLI EO+EC,selectk100,19,10,9,reference,,0.47368421052631576,0.4722222222222222,0.5,0.4444444444444444,0.5,0.5,0.30686755936584925,0.4444444444444444,0.5495546038928392
eeg_only_logistic_l2_none,eeg_only,PSD+WPLI EO+EC,none,19,10,9,reference,,0.6842105263157895,0.6888888888888889,0.6,0.7777777777777778,0.75,0.6666666666666666,0.22141815080493069,0.7777777777777778,0.8397209653092005
eeg_only_logistic_l2_selectk100,eeg_only,PSD+WPLI EO+EC,selectk100,19,10,9,reference,,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.20716481983067067,0.7666666666666666,0.7934371184371183
eeg_only_random_forest_none,eeg_only,PSD+WPLI EO+EC,none,19,10,9,reference,,0.3157894736842105,0.3,0.6,0.0,0.4,0.48,0.27096447368421045,0.37777777777777777,0.5090115418637091
eeg_only_random_forest_selectk100,eeg_only,PSD+WPLI EO+EC,selectk100,19,10,9,reference,,0.3684210526315789,0.3666666666666667,0.4,0.3333333333333333,0.4,0.4,0.28744868421052633,0.3166666666666667,0.44473942208462336
eeg_only_svm_linear_none,eeg_only,PSD+WPLI EO+EC,none,19,10,9,reference,,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.25073487229637637,0.6666666666666667,0.6665509928667823
eeg_only_svm_linear_selectk100,eeg_only,PSD+WPLI EO+EC,selectk100,19,10,9,reference,,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.2161673558607981,0.6777777777777778,0.6742307692307692
eeg_only_svm_rbf_none,eeg_only,PSD+WPLI EO+EC,none,19,10,9,reference,,0.21052631578947367,0.2,0.4,0.0,0.3076923076923077,0.34782608695652173,0.30864995855723953,0.14444444444444446,0.39386331289969057
eeg_only_svm_rbf_selectk100,eeg_only,PSD+WPLI EO+EC,selectk100,19,10,9,reference,,0.6842105263157895,0.6944444444444444,0.5,0.8888888888888888,0.8333333333333334,0.625,0.2186767559889566,0.7777777777777778,0.7713383838383838
eeg_clinical_logistic_l1_selectk100,eeg_clinical,PSD+WPLI EO+EC + baseline clinical,selectk100,19,10,9,trained,,0.8947368421052632,0.8944444444444444,0.9,0.8888888888888888,0.9,0.9,0.11113232197794377,0.8999999999999999,0.8480122655122654
eeg_clinical_logistic_l2_selectk100,eeg_clinical,PSD+WPLI EO+EC + baseline clinical,selectk100,19,10,9,trained,,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.18125616452829632,0.8,0.8217199467199466
eeg_clinical_svm_rbf_selectk100,eeg_clinical,PSD+WPLI EO+EC + baseline clinical,selectk100,19,10,9,trained,,0.631578947368421,0.6444444444444444,0.4,0.8888888888888888,0.8,0.5333333333333333,0.21030995477442316,0.788888888888889,0.775108225108225
