model,model_family,features,status,skip_reason,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,roc_auc,pr_auc,accuracy_ci_low,accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,sensitivity_ci_low,sensitivity_ci_high,specificity_ci_low,specificity_ci_high,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high,brier_score_ci_low,brier_score_ci_high
residual_aware_SSL_CNN_seedmean10,EEG_CNN_reference,see_source_predictions,reference,,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.12588685484620435,0.8444444444444444,0.836024531024531,0.6842105263157895,1.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0,0.6,1.0,0.5990197897340754,1.0,0.036141289849801445,0.2313828831029496
ML_EEG_updated_no_selector_gaussian_nb,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.3684210526315789,0.6333333333333334,0.6105263157894736,0.42105263157894735,0.8421052631578947,0.4222222222222222,0.8501785714285712,0.2857142857142857,0.9002272727272725,0.3333333333333333,1.0,0.4222222222222223,0.8501785714285712,0.3583959899749373,0.8785425101214575,0.15789473684210525,0.5789473684210527
ML_EEG_updated_no_selector_knn,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.47368421052631576,0.4611111111111111,0.7,0.2222222222222222,0.5,0.5833333333333334,0.30409356725146197,0.6833333333333333,0.7651315789473684,0.2631578947368421,0.6842105263157895,0.25,0.6722222222222223,0.41625000000000006,1.0,0.0,0.5555555555555556,0.4219345238095238,0.9376041666666666,0.5107203670942061,0.9526315789473684,0.16959064327485382,0.4444444444444445
ML_EEG_updated_no_selector_logistic_l1,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.20800089755124154,0.7111111111111112,0.7754058441558441,0.5263157894736842,0.8960526315789462,0.5165705128205128,0.9166666666666667,0.5,1.0,0.3,1.0,0.4332954545454545,0.9333333333333333,0.5397310287751463,0.9620687134502923,0.13961377780499196,0.28956396716613886
ML_EEG_updated_no_selector_logistic_l2,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.6842105263157895,0.6888888888888889,0.6,0.7777777777777778,0.75,0.6666666666666666,0.22141815080493069,0.7777777777777778,0.8397209653092005,0.47368421052631576,0.8947368421052632,0.477245670995671,0.8846153846153846,0.2857142857142857,0.9002272727272725,0.5,1.0,0.5555555555555556,0.9555555555555555,0.6170483193277311,0.9757631461675579,0.09950693428515034,0.35333981931105074
ML_EEG_updated_no_selector_random_forest,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.3157894736842105,0.3,0.6,0.0,0.4,0.48,0.27096447368421045,0.37777777777777777,0.5090115418637091,0.10526315789473684,0.5263157894736842,0.14982142857142858,0.4444444444444444,0.29964285714285716,0.8888888888888888,0.0,0.0,0.13327380952380952,0.6716300366300365,0.30404039217361584,0.8395190433348327,0.24155595394736842,0.2995545394736842
ML_EEG_updated_no_selector_svm_linear,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.25073487229637637,0.6666666666666667,0.6665509928667823,0.42105263157894735,0.8421052631578947,0.4222222222222222,0.8501785714285712,0.2857142857142857,0.9002272727272725,0.3333333333333333,1.0,0.39965909090909096,0.9090909090909091,0.4214552333631281,0.9540768700995973,0.17614299447486498,0.3346661318633874
ML_EEG_updated_no_selector_svm_rbf,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; no feature selector,reference,,0.21052631578947367,0.2,0.4,0.0,0.3076923076923077,0.34782608695652173,0.30864995855723953,0.14444444444444446,0.39386331289969057,0.05263157894736842,0.42105263157894735,0.049886363636363645,0.35714285714285715,0.09977272727272729,0.7142857142857143,0.0,0.0,0.0,0.36371212121212115,0.22913094879764773,0.6809852457021426,0.2803423940672375,0.3399236791032754
ML_EEG_updated_selectk100_gaussian_nb,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; SelectK=100 inside LOSO folds,reference,,0.5263157894736842,0.5333333333333333,0.4,0.6666666666666666,0.5714285714285714,0.47058823529411764,0.47368421052631343,0.6222222222222222,0.601017316017316,0.3157894736842105,0.7368421052631579,0.3166025641025641,0.7501420454545453,0.1,0.7272727272727273,0.33269230769230773,1.0,0.3333333333333333,0.8693907828282829,0.3645494378306879,0.9071626984126985,0.2631578947368398,0.6842105263157873
ML_EEG_updated_selectk100_knn,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; SelectK=100 inside LOSO folds,reference,,0.631578947368421,0.6166666666666667,0.9,0.3333333333333333,0.6,0.72,0.3333333333333333,0.6055555555555556,0.5838888888888889,0.42105263157894735,0.8421052631578947,0.42301136363636366,0.8,0.6666666666666666,1.0,0.0,0.6666666666666666,0.35000000000000003,0.8333333333333334,0.34052923126065543,0.8523409363745498,0.15204678362573104,0.514766081871345
ML_EEG_updated_selectk100_logistic_l1,ML_EEG_updated_sub05_sub28_reference,PSD/WPLI updated_sub05_sub28 ML baseline; SelectK=100 inside LOSO folds,reference,,0.47368421052631576,0.4722222222222222,0.5,0.4444444444444444,0.5,0.5,0.30686755936584925,0.4444444444444444,0.5495546038928392,0.2631578947368421,0.6842105263157895,0.24431818181818182,0.6934117965367963,0.18181818181818182,0.8,0.125,0.7783333333333329,0.16666666666666669,0.7437499999999998,0.334180811966395,0.8435839166176204,0.21051575340897954,0.41022721737093093
