model,model_family,input_features,feature_selection,n_subjects,n_positive,n_negative,status,skip_reason,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,roc_auc,pr_auc,ablation_name,ablation_description,n_input_columns,explainability_alignment
ablation_psd_only_logistic_l2,ablation_psd_only,"PSD only, EO+EC, all bands",selectk100,19,10,9,trained,,0.7894736842105263,0.788888888888889,0.8,0.7777777777777778,0.8,0.8,0.19294608527690174,0.8111111111111111,0.840103785103785,psd_only,"PSD only, EO+EC, all bands",744,gate weights available; branch/state occlusion available
ablation_wpli_only_logistic_l2,ablation_wpli_only,"WPLI only, EO+EC, all bands",selectk100,19,10,9,trained,,0.631578947368421,0.6277777777777778,0.7,0.5555555555555556,0.6363636363636364,0.6666666666666666,0.23221098418478575,0.6888888888888889,0.7508982683982683,wpli_only,"WPLI only, EO+EC, all bands",22692,gate weights available; branch/state occlusion available
ablation_psd_wpli_logistic_l2,ablation_psd_wpli,"PSD + WPLI, EO+EC, all bands",selectk100,19,10,9,trained,,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.2071648198306707,0.7666666666666666,0.7934371184371183,psd_wpli,"PSD + WPLI, EO+EC, all bands",23436,gate weights available; branch/state occlusion available
ablation_eo_only_logistic_l2,ablation_eo_only,"EO only, PSD+WPLI",selectk100,19,10,9,trained,,0.3157894736842105,0.31666666666666665,0.3,0.3333333333333333,0.3333333333333333,0.3157894736842105,0.4901118473442453,0.30000000000000004,0.4669805632963528,eo_only,"EO only, PSD+WPLI",11718,gate weights available; branch/state occlusion available
ablation_ec_only_logistic_l2,ablation_ec_only,"EC only, PSD+WPLI",selectk100,19,10,9,trained,,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.22279307056728456,0.788888888888889,0.8156593406593405,ec_only,"EC only, PSD+WPLI",11718,gate weights available; branch/state occlusion available
ablation_psd_eo_only_logistic_l2,ablation_psd_eo_only,PSD EO only,selectk100,19,10,9,trained,,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.2670178601752788,0.7333333333333333,0.7708365164247517,psd_eo_only,PSD EO only,372,gate weights available; branch/state occlusion available
ablation_wpli_ec_only_logistic_l2,ablation_wpli_ec_only,WPLI EC only,selectk100,19,10,9,trained,,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.23099192610034366,0.7111111111111111,0.7932792207792208,wpli_ec_only,WPLI EC only,11346,gate weights available; branch/state occlusion available
ablation_psd_eo_wpli_ec_logistic_l2,ablation_psd_eo_wpli_ec,PSD EO plus WPLI EC,selectk100,19,10,9,trained,,0.5789473684210527,0.5833333333333333,0.5,0.6666666666666666,0.625,0.5555555555555556,0.23943981759988428,0.7111111111111111,0.7932792207792208,psd_eo_wpli_ec,PSD EO plus WPLI EC,11718,gate weights available; branch/state occlusion available
ablation_beta_medium_only_logistic_l2,ablation_beta_medium_only,"Beta medium band only, PSD+WPLI",selectk100,19,10,9,trained,,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.23215051411195559,0.7111111111111111,0.7762318675476569,beta_medium_only,"Beta medium band only, PSD+WPLI",3906,gate weights available; branch/state occlusion available; PSD band attribution available
ablation_beta_high_only_logistic_l2,ablation_beta_high_only,"Beta high band only, PSD+WPLI",selectk100,19,10,9,trained,,0.5789473684210527,0.5777777777777777,0.6,0.5555555555555556,0.6,0.6,0.3169668634208833,0.5666666666666667,0.561047841047841,beta_high_only,"Beta high band only, PSD+WPLI",3906,gate weights available; branch/state occlusion available; PSD band attribution available
ablation_beta_medium_beta_high_logistic_l2,ablation_beta_medium_beta_high,"Beta medium + beta high bands, PSD+WPLI",selectk100,19,10,9,trained,,0.631578947368421,0.6277777777777778,0.7,0.5555555555555556,0.6363636363636364,0.6666666666666666,0.2796737372874188,0.5777777777777778,0.5597871572871573,beta_medium_beta_high,"Beta medium + beta high bands, PSD+WPLI",7812,gate weights available; branch/state occlusion available; PSD band attribution available
ablation_motor_wpli_edges_logistic_l2,ablation_motor_wpli_edges,Motor/stimulation-side related WPLI edges around C3/C4 network,selectk100,19,10,9,trained,,0.631578947368421,0.6277777777777778,0.7,0.5555555555555556,0.6363636363636364,0.6666666666666666,0.26112640605328385,0.7333333333333334,0.8163095238095237,motor_wpli_edges,Motor/stimulation-side related WPLI edges around C3/C4 network,6780,gate weights available; branch/state occlusion available; WPLI edge attribution available
