row_type,seed,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
seed,0,0.631578947368421,0.6222222222222222,0.8,0.4444444444444444,0.6153846153846154,0.6956521739130435,0.7111111111111111,0.7346477052359405,0.2702071795291572,4.0,5.0,2.0,8.0
seed,1,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.6888888888888889,0.625465367965368,0.211135283483217,5.0,4.0,0.0,10.0
seed,2,0.8947368421052632,0.8888888888888888,1.0,0.7777777777777778,0.8333333333333334,0.9090909090909092,0.8777777777777778,0.8322546897546897,0.1353494817401182,7.0,2.0,0.0,10.0
seed,3,0.7368421052631579,0.7277777777777779,0.9,0.5555555555555556,0.6923076923076923,0.782608695652174,0.7333333333333334,0.6741558441558442,0.203717859715779,5.0,4.0,1.0,9.0
seed,4,0.7368421052631579,0.7277777777777779,0.9,0.5555555555555556,0.6923076923076923,0.782608695652174,0.7777777777777778,0.7592596292596292,0.2018468405973356,5.0,4.0,1.0,9.0
seed,5,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.8,0.8008730158730157,0.2133185461508036,6.0,3.0,1.0,9.0
seed,7,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.9444444444444444,0.9558119658119658,0.141358773438974,6.0,3.0,0.0,10.0
seed,13,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.8222222222222223,0.7504151404151405,0.1618167258463692,6.0,3.0,0.0,10.0
seed,21,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.8777777777777779,0.888470695970696,0.1592016628278308,6.0,3.0,0.0,10.0
seed,42,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.8222222222222223,0.8186979686979686,0.1929289292547648,6.0,3.0,0.0,10.0
mean,,0.7947368421052631,0.7861111111111111,0.95,0.6222222222222223,0.7374542124542124,0.829973649538867,0.8055555555555557,0.7840052023140258,0.18908812825843496,5.6,3.4,0.5,9.5
std,,0.072356458341408,0.07295567739523445,0.06708203932499368,0.08888888888888888,0.05736147073322812,0.059337156174449,0.07669886602409919,0.09253393230892455,0.038532998670903956,0.7999999999999999,0.8000000000000002,0.6708203932499369,0.6708203932499369
min,,0.631578947368421,0.6222222222222222,0.8,0.4444444444444444,0.6153846153846154,0.6956521739130435,0.6888888888888889,0.625465367965368,0.1353494817401182,4.0,2.0,0.0,8.0
max,,0.8947368421052632,0.8888888888888888,1.0,0.7777777777777778,0.8333333333333334,0.9090909090909092,0.9444444444444444,0.9558119658119658,0.2702071795291572,7.0,5.0,2.0,10.0
seedmean10,ensemble,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.8222222222222223,0.7897008547008547,0.17107408616970862,6.0,3.0,0.0,10.0
