model_group,row_type,accuracy,balanced_accuracy,roc_auc,pr_auc,brier_score,sensitivity,specificity
standard_no_ssl_bce,mean,0.7947368421052631,0.7861111111111111,0.8055555555555557,0.7840052023140258,0.18908812825843496,0.95,0.6222222222222223
standard_no_ssl_bce,std,0.07627040392731282,0.07690203626980038,0.0808477035294188,0.09753932898268171,0.040617346958765815,0.07071067811865474,0.09369711585684086
standard_no_ssl_bce,min,0.631578947368421,0.6222222222222222,0.6888888888888889,0.625465367965368,0.1353494817401182,0.8,0.4444444444444444
standard_no_ssl_bce,max,0.8947368421052632,0.8888888888888888,0.9444444444444444,0.9558119658119658,0.2702071795291572,1.0,0.7777777777777778
standard_no_ssl_bce,seedmean10,0.8421052631578947,0.8333333333333333,0.8222222222222223,0.7897008547008547,0.17107408616970862,1.0,0.6666666666666666
no_ssl_residualaware_highrank_swa_clsalpha1,mean,0.8157894736842106,0.8122222222222222,0.8988888888888888,0.9084416416916417,0.1304241654363616,0.8800000000000001,0.7444444444444445
no_ssl_residualaware_highrank_swa_clsalpha1,std,0.04472824134730513,0.04365031264766244,0.04727121641373922,0.05247212925508525,0.029769420488739123,0.07888106377466153,0.053671765726627574
no_ssl_residualaware_highrank_swa_clsalpha1,min,0.7368421052631579,0.7333333333333334,0.8111111111111111,0.807983682983683,0.0799961509697407,0.8,0.6666666666666666
no_ssl_residualaware_highrank_swa_clsalpha1,max,0.8947368421052632,0.8888888888888888,0.9666666666666668,0.9769230769230768,0.1766781979022564,1.0,0.7777777777777778
no_ssl_residualaware_highrank_swa_clsalpha1,seedmean10,0.8947368421052632,0.8888888888888888,0.9222222222222223,0.9272546897546897,0.11048289859601997,1.0,0.7777777777777778
patient_barlow_residualaware_highrank_swa_clsalpha1,mean,0.8368421052631578,0.8305555555555555,0.86,0.8584921744921743,0.14158999183158277,0.95,0.711111111111111
patient_barlow_residualaware_highrank_swa_clsalpha1,std,0.038834988809085355,0.03895497031104189,0.05295130666862673,0.05845527230484206,0.02410698322486612,0.05270462766947298,0.05737753105492473
patient_barlow_residualaware_highrank_swa_clsalpha1,min,0.7894736842105263,0.7833333333333333,0.7555555555555555,0.7528646353646353,0.1099112495740876,0.9,0.6666666666666666
patient_barlow_residualaware_highrank_swa_clsalpha1,max,0.8947368421052632,0.8888888888888888,0.9555555555555556,0.9572979797979796,0.1962738624833147,1.0,0.7777777777777778
patient_barlow_residualaware_highrank_swa_clsalpha1,seedmean10,0.8421052631578947,0.8333333333333333,0.8444444444444444,0.836024531024531,0.12588685484620435,1.0,0.6666666666666666
