model,architecture,feature_kind,fusion,encoder_kind,pretrained,pretrained_transfer_mode,learning_rate,weight_decay,embedding_dim,dropout,seed,lambda_reg,lambda_rank,lambda_soft,rank_margin,residual_alpha,residual_probability_scale,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,roc_auc,pr_auc,model_group,source_file,inference_rule,alpha_candidates,use_swa,swa_start_epoch,swa_lr,status,skip_reason,positive_class_weight,negative_class_weight,ssl_data_scope,ssl_objective,pretrain_epochs,pretrain_lr,ssl_projection_dim,ssl_temperature,ssl_noise_std,ssl_feature_mask_prob,barlow_offdiag_weight,supervised_lr,transfer_mode,run_name,loss_name,focal_gamma_pos,focal_gamma_neg,fp_margin,fp_penalty_weight,mixup_enabled,mixup_alpha,mixup_weight,mixup_layer,modality_dropout_prob,state_dropout_prob,encoder_lr_multiplier,transfer_head_lr_multiplier,freeze_pretrained_encoder_epochs,ssl_bridge_enabled,ssl_consistency_weight,ssl_two_head_enabled,ssl_aux_head_weight,ssl_fusion_weight,ssl_residual_enabled,ssl_residual_weight,bridge_residual_weight,ssl_residual_random_main,ssl_residual_main_loss_only,ssl_residual_preserve_main,ssl_residual_select_weights_on_val,ssl_residual_logit_preservation_weight,ssl_residual_logit_delta_enabled,ssl_residual_logit_delta_scale,selected_ssl_residual_weight,selected_bridge_residual_weight,selected_trainable_weight,selected_weight_metric,selected_weight_metric_value,selected_weight_val_brier_score,embedding_adapter_dim,embedding_adapter_scale,eeg_summary_features_enabled,eeg_summary_embedding_dim
patient_barlow_residualaware_highrank,multimodal,psd-fc-wpli,gated,cnn,True,residual_aware_finetune,0.002,1e-05,32.0,0.0,0,0.3,0.3,0.1,0.5,0.5,1.0,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.1803016698248301,0.8,0.8191558441558441,patient_barlow_residualaware_highrank_seed0,dl_model_comparison_patient_barlow_residualaware_highrank_seed0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patient_barlow_residualaware_highrank_swa_clsalpha1,multimodal,psd-fc-wpli,gated,cnn,True,residual_aware_finetune_swa_aux_inference,,,,,0,,,,,1.0,,0.8421052631578947,0.8388888888888889,0.9,0.7777777777777778,0.8181818181818182,0.8571428571428571,0.1412890905298529,0.8666666666666667,0.8612626262626262,patient_barlow_residualaware_highrank_swa_clsalpha1_seed0,dl_model_comparison_patient_barlow_residualaware_highrank_swa_clsalpha1_seed0.csv,classification_head_with_residual_aux_training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patient_barlow_residualaware_highrank,multimodal,psd-fc-wpli,gated,cnn,True,residual_aware_finetune,0.002,1e-05,32.0,0.0,0,0.3,0.3,0.1,0.5,0.5,1.0,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.1509219784443654,0.8555555555555556,0.8548523698523698,patient_barlow_residualaware_highrank_swa_seed0,dl_model_comparison_patient_barlow_residualaware_highrank_swa_seed0.csv,,0.5,True,50.0,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patient_barlow_residualaware_highrank,multimodal,psd-fc-wpli,gated,cnn,True,residual_aware_finetune,0.002,1e-05,32.0,0.0,0,0.3,0.3,0.1,0.5,0.5,1.0,0.7368421052631579,0.7277777777777779,0.9,0.5555555555555556,0.6923076923076923,0.782608695652174,0.1870461685014526,0.8,0.8308225108225108,patient_barlow_residualaware_highrank_valalpha_seed0,dl_model_comparison_patient_barlow_residualaware_highrank_valalpha_seed0.csv,,0.0;0.25;0.5;0.75;1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patient_barlow_residualaware_lowreg_soft_rank,multimodal,psd-fc-wpli,gated,cnn,True,residual_aware_finetune,0.002,1e-05,32.0,0.0,0,0.1,0.1,0.2,0.5,0.5,1.0,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.1880850642215729,0.8,0.7798701298701297,patient_barlow_residualaware_lowreg_soft_rank_seed0,dl_model_comparison_patient_barlow_residualaware_lowreg_soft_rank_seed0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patient_barlow_residualaware_reg,multimodal,psd-fc-wpli,gated,cnn,True,residual_aware_finetune,0.002,1e-05,32.0,0.0,0,0.3,0.0,0.0,0.5,0.5,1.0,0.7368421052631579,0.7222222222222222,1.0,0.4444444444444444,0.6666666666666666,0.8,0.1904271020102144,0.8111111111111111,0.7431424131424131,patient_barlow_residualaware_reg_seed0,dl_model_comparison_patient_barlow_residualaware_reg_seed0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patient_barlow_residualaware_reg_soft_rank,multimodal,psd-fc-wpli,gated,cnn,True,residual_aware_finetune,0.002,1e-05,32.0,0.0,0,0.3,0.1,0.2,0.5,0.5,1.0,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.1806499074738791,0.8,0.796078921078921,patient_barlow_residualaware_reg_soft_rank_seed0,dl_model_comparison_patient_barlow_residualaware_reg_soft_rank_seed0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
patient_barlow_residualaware_reg_soft,multimodal,psd-fc-wpli,gated,cnn,True,residual_aware_finetune,0.002,1e-05,32.0,0.0,0,0.3,0.0,0.2,0.5,0.5,1.0,0.7894736842105263,0.7777777777777778,1.0,0.5555555555555556,0.7142857142857143,0.8333333333333334,0.1845330002651438,0.788888888888889,0.7663170163170162,patient_barlow_residualaware_reg_soft_seed0,dl_model_comparison_patient_barlow_residualaware_reg_soft_seed0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multimodal_psd-fc-wpli_gated_cnn,multimodal,psd-fc-wpli,gated,cnn,True,finetune,0.001,0.0,32.0,0.0,0,,,,,,,0.7368421052631579,0.7277777777777779,0.9,0.5555555555555556,0.6923076923076923,0.782608695652174,,0.6777777777777778,0.6774342324342323,prior_patient_barlow_seed0,dl_model_comparison_feature_ssl_all-patient_psd-fc-wpli_gated_cnn_barlow_finetune_seed0_pre50_temp0_2_noise0_02_mask0_01_bs8_sup100_proj32.csv,,,,,,trained,,1.0,1.0,all-patient,barlow,50.0,0.001,32.0,0.2,0.02,0.01,0.005,0.001,finetune,feature_ssl_all-patient_psd-fc-wpli_gated_cnn_barlow_finetune_seed0_pre50_temp0_2_noise0_02_mask0_01_bs8_sup100_proj32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
multimodal_psd-fc-wpli_gated_cnn,multimodal,psd-fc-wpli,gated,cnn,False,none,0.002,1e-05,32.0,0.0,0,,,,,,,0.631578947368421,0.6222222222222222,0.8,0.4444444444444444,0.6153846153846154,0.6956521739130435,0.2702071795291572,0.7111111111111111,0.7346477052359405,no_ssl_rerun_seed0,dl_model_comparison_no_ssl_psdfcwpli_gated_cnn_rerun_20260531_seed0.csv,,,,,,trained,,1.0,1.5,,,,,,,,,,,,,bce,1.0,2.0,0.6,0.25,False,0.4,1.0,embedding,0.0,0.0,1.0,1.0,0.0,False,0.0,False,0.5,0.5,False,0.14,0.04,False,False,False,False,0.0,False,0.5,0.14,0.04,0.82,balanced_accuracy,,,0.0,1.0,False,0.0
