model_group,row_type,seed,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,brier_score,tn,fp,fn,tp
patient_barlow_residualaware_highrank,mean,,0.7736842105263158,0.7644444444444444,0.9400000000000001,0.5888888888888889,0.7194139194139195,0.813794466403162,0.8111111111111111,0.8245920745920745,0.17229195810934456,5.3,3.7,0.6,9.4
patient_barlow_residualaware_highrank,std,,0.024118819447136022,0.025361582690029597,0.04898979485566354,0.07114582486036497,0.028412491151314067,0.018323998699186467,0.05577733510227173,0.059447260491401054,0.01976386187619339,0.6403124237432849,0.6403124237432849,0.48989794855663565,0.48989794855663565
patient_barlow_residualaware_highrank,min,,0.7368421052631579,0.7222222222222222,0.9,0.4444444444444444,0.6666666666666666,0.782608695652174,0.7333333333333334,0.7309598734598735,0.1386895802813533,4.0,3.0,0.0,9.0
patient_barlow_residualaware_highrank,seedmean10,ensemble,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.788888888888889,0.7663170163170162,0.16336831758475465,6.0,3.0,0.0,10.0
no_ssl_rerun_20260531,mean,,0.7947368421052631,0.7861111111111111,0.95,0.6222222222222223,0.7374542124542124,0.829973649538867,0.8055555555555557,0.7840052023140258,0.1890881282584349,5.6,3.4,0.5,9.5
no_ssl_rerun_20260531,std,,0.072356458341408,0.0729556773952344,0.0670820393249936,0.0888888888888888,0.0573614707332281,0.059337156174449,0.0766988660240991,0.0925339323089245,0.0385329986709039,0.7999999999999999,0.8000000000000002,0.6708203932499369,0.6708203932499369
no_ssl_rerun_20260531,min,,0.631578947368421,0.6222222222222222,0.8,0.4444444444444444,0.6153846153846154,0.6956521739130435,0.6888888888888889,0.625465367965368,0.1353494817401182,4.0,2.0,0.0,8.0
no_ssl_rerun_20260531,seedmean10,ensemble,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.8222222222222223,0.7897008547008547,0.1710740861697086,6.0,3.0,0.0,10.0
patient_barlow_swa,mean,,0.7789473684210526,0.7683333333333333,0.97,0.5666666666666667,0.7139194139194139,0.8220289855072463,0.8444444444444447,0.8508855866355866,0.1699000178656443,5.1,3.9,0.3,9.7
patient_barlow_swa,std,,0.0393858672291993,0.0398337594894296,0.0458257569495583,0.0598351645237166,0.0312301943839469,0.031902497961468,0.0358322566591046,0.0453849698856528,0.0214982809040045,0.5385164807134504,0.5385164807134505,0.458257569495584,0.458257569495584
patient_barlow_swa,min,,0.7368421052631579,0.7222222222222222,0.9,0.4444444444444444,0.6666666666666666,0.782608695652174,0.788888888888889,0.7494627594627594,0.1319287864801933,4.0,3.0,0.0,9.0
