model_group,row_type,accuracy,balanced_accuracy,roc_auc,pr_auc,brier_score,sensitivity,specificity
no_ssl_rerun,mean,0.7947368421052631,0.7861111111111111,0.8055555555555557,0.7840052023140258,0.18908812825843496,0.95,0.6222222222222223
no_ssl_rerun,std,0.07627040392731282,0.07690203626980038,0.0808477035294188,0.09753932898268171,0.040617346958765815,0.07071067811865474,0.09369711585684086
no_ssl_rerun,min,0.631578947368421,0.6222222222222222,0.6888888888888889,0.625465367965368,0.1353494817401182,0.8,0.4444444444444444
no_ssl_rerun,max,0.8947368421052632,0.8888888888888888,0.9444444444444444,0.9558119658119658,0.2702071795291572,1.0,0.7777777777777778
no_ssl_rerun,seedmean10,0.8421052631578947,0.8333333333333333,0.8222222222222223,0.7897008547008547,0.17107408616970862,1.0,0.6666666666666666
residualaware_highrank,mean,0.7736842105263158,0.7644444444444444,0.8111111111111111,0.8245920745920745,0.17229195810934456,0.9400000000000001,0.5888888888888889
residualaware_highrank,std,0.025423467975770966,0.02673345545573122,0.05879447357921315,0.06266291460338928,0.02083293962991329,0.05163977794943221,0.07499428419006142
residualaware_highrank,min,0.7368421052631579,0.7222222222222222,0.7333333333333334,0.7309598734598735,0.1386895802813533,0.9,0.4444444444444444
residualaware_highrank,max,0.7894736842105263,0.7833333333333333,0.9222222222222224,0.9387412587412588,0.2012200910733479,1.0,0.6666666666666666
residualaware_highrank,seedmean10,0.8421052631578947,0.8333333333333333,0.788888888888889,0.7663170163170162,0.16336831758475465,1.0,0.6666666666666666
residualaware_highrank_swa_blend05,mean,0.7947368421052632,0.7872222222222222,0.8566666666666667,0.84378441003441,0.14565120699056525,0.93,0.6444444444444445
residualaware_highrank_swa_blend05,std,0.038834988809085355,0.03795618729054741,0.06295206877429015,0.07830599810232408,0.018398094438172155,0.06749485577105528,0.04684855792842041
residualaware_highrank_swa_blend05,min,0.7368421052631579,0.7277777777777779,0.7444444444444445,0.726655844155844,0.1185111693183142,0.8,0.5555555555555556
residualaware_highrank_swa_blend05,max,0.8421052631578947,0.8333333333333333,0.9777777777777776,0.9809090909090908,0.1818745675672851,1.0,0.6666666666666666
residualaware_highrank_swa_blend05,seedmean10,0.8421052631578947,0.8333333333333333,0.8444444444444444,0.8029292929292929,0.1370043711289773,1.0,0.6666666666666666
residualaware_highrank_swa_clsalpha1,mean,0.8368421052631578,0.8305555555555555,0.86,0.8584921744921743,0.14158999183158277,0.95,0.711111111111111
residualaware_highrank_swa_clsalpha1,std,0.038834988809085355,0.03895497031104189,0.05295130666862673,0.05845527230484206,0.02410698322486612,0.05270462766947298,0.05737753105492473
residualaware_highrank_swa_clsalpha1,min,0.7894736842105263,0.7833333333333333,0.7555555555555555,0.7528646353646353,0.1099112495740876,0.9,0.6666666666666666
residualaware_highrank_swa_clsalpha1,max,0.8947368421052632,0.8888888888888888,0.9555555555555556,0.9572979797979796,0.1962738624833147,1.0,0.7777777777777778
residualaware_highrank_swa_clsalpha1,seedmean10,0.8421052631578947,0.8333333333333333,0.8444444444444444,0.836024531024531,0.12588685484620435,1.0,0.6666666666666666
