model,label_definition,threshold_type,residual_threshold,margin,n_subjects,n_positive,n_negative,n_excluded_near_threshold,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,roc_auc,pr_auc
ML_EEG_updated_no_selector_logistic_l1,current_fixed_1.5,fixed,1.5,,19,10,9,0,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.20800089755124154,0.7111111111111112,0.7754058441558441
ML_EEG_updated_no_selector_logistic_l1,cohort_median,fixed,1.5,,19,10,9,0,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.20800089755124154,0.7111111111111112,0.7754058441558441
ML_EEG_updated_no_selector_logistic_l1,fold_local_train_median,fold_local,,,19,10,9,0,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.20800089755124154,0.7111111111111112,0.7754058441558441
ML_EEG_updated_no_selector_logistic_l1,fixed_0.0,fixed,0.0,,19,5,14,0,0.5789473684210527,0.65,0.8,0.5,0.36363636363636365,0.5,0.2635659136251955,0.5857142857142856,0.3527777777777778
ML_EEG_updated_no_selector_logistic_l1,fixed_1.5,fixed,1.5,,19,10,9,0,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.20800089755124154,0.7111111111111112,0.7754058441558441
ML_EEG_updated_no_selector_logistic_l1,fixed_3.0,fixed,3.0,,19,11,8,0,0.6842105263157895,0.6761363636363636,0.7272727272727273,0.625,0.7272727272727273,0.7272727272727273,0.21209429351561573,0.6818181818181819,0.7785837899474264
ML_EEG_updated_no_selector_logistic_l1,exclude_margin_0.5_at_1.5,exclude_margin,1.5,0.5,18,9,9,1,0.7222222222222222,0.7222222222222222,0.7777777777777778,0.6666666666666666,0.7,0.7368421052631579,0.21156514485843245,0.7037037037037037,0.765966386554622
ML_EEG_updated_no_selector_logistic_l1,exclude_margin_1.0_at_1.5,exclude_margin,1.5,1.0,15,7,8,4,0.7333333333333333,0.7410714285714286,0.8571428571428571,0.625,0.6666666666666666,0.75,0.18826321223598316,0.7678571428571428,0.8044217687074828
residual_aware_SSL_CNN_seedmean10,current_fixed_1.5,fixed,1.5,,19,10,9,0,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.12588685484620435,0.8444444444444444,0.836024531024531
residual_aware_SSL_CNN_seedmean10,cohort_median,fixed,1.5,,19,10,9,0,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.12588685484620435,0.8444444444444444,0.836024531024531
residual_aware_SSL_CNN_seedmean10,fold_local_train_median,fold_local,,,19,10,9,0,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.12588685484620435,0.8444444444444444,0.836024531024531
residual_aware_SSL_CNN_seedmean10,fixed_0.0,fixed,0.0,,19,5,14,0,0.5789473684210527,0.7142857142857143,1.0,0.42857142857142855,0.38461538461538464,0.5555555555555556,0.3097035739013801,0.5857142857142857,0.32047619047619047
residual_aware_SSL_CNN_seedmean10,fixed_1.5,fixed,1.5,,19,10,9,0,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.12588685484620435,0.8444444444444444,0.836024531024531
residual_aware_SSL_CNN_seedmean10,fixed_3.0,fixed,3.0,,19,11,8,0,0.8947368421052632,0.875,1.0,0.75,0.8461538461538461,0.9166666666666666,0.08696220972347547,0.9204545454545454,0.9254656959202414
residual_aware_SSL_CNN_seedmean10,exclude_margin_0.5_at_1.5,exclude_margin,1.5,0.5,18,9,9,1,0.8333333333333334,0.8333333333333333,1.0,0.6666666666666666,0.75,0.8571428571428571,0.1300459327093405,0.8518518518518519,0.8363235529902198
residual_aware_SSL_CNN_seedmean10,exclude_margin_1.0_at_1.5,exclude_margin,1.5,1.0,15,7,8,4,0.8666666666666667,0.875,1.0,0.75,0.7777777777777778,0.875,0.10430533354730967,0.8928571428571429,0.8260204081632654
