model_group,seed,threshold,threshold_method,ensemble_members,ensemble_weighting,n_subjects,n_seeds,exploratory,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,brier_score,tn,fp,fn,tp,roc_auc,pr_auc,aggregation,prediction_path,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,sensitivity_mean,sensitivity_std,sensitivity_min,sensitivity_max,specificity_mean,specificity_std,specificity_min,specificity_max,precision_mean,precision_std,precision_min,precision_max,f1_mean,f1_std,f1_min,f1_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max,brier_score_mean,brier_score_std,brier_score_min,brier_score_max
no_ssl_stable_cnn,seed_mean,0.5,fixed_0.5,no_ssl_stable_cnn,single_model+seed_mean_probability,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.1747323409194338,6.0,3.0,0.0,10.0,0.888888888888889,0.8973595848595848,seed_mean_probability,E:\AAAProjectList\EEG_PredictStokeDLModel\results\predictions\no_ssl_stable_cnn_fixed_0.5_seed_mean_predictions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ssl_stable_cnn,,,fixed_0.5,no_ssl_stable_cnn,single_model,19,10,False,,,,,,,,,,,,,,seed_runs,,0.7894736842105263,0.062274524032627517,0.6842105263157895,0.8421052631578947,0.7799999999999999,0.06340152274527597,0.6722222222222223,0.8333333333333333,0.96,0.04898979485566356,0.9,1.0,0.6,0.08888888888888888,0.4444444444444444,0.6666666666666666,0.7288461538461538,0.049937317308246056,0.6428571428571429,0.7692307692307693,0.8281949934123846,0.04794910625723852,0.75,0.8695652173913043,0.8344444444444445,0.07017614522061393,0.7333333333333334,0.9666666666666668,0.8429596792096792,0.07423739299183682,0.6942307692307692,0.9769230769230769,0.18798912952966182,0.037894940174207116,0.1120649569829702,0.23715938320394608
no_ssl_stable_cnn,seed_mean,0.6828565001487732,leave_one_seed_out_oof_median_threshold,no_ssl_stable_cnn,single_model+seed_mean_probability,19,10,False,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.1747323409194338,6.0,3.0,1.0,9.0,0.888888888888889,0.8973595848595848,seed_mean_probability,E:\AAAProjectList\EEG_PredictStokeDLModel\results\predictions\no_ssl_stable_cnn_leave_one_seed_out_oof_median_threshold_seed_mean_predictions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ssl_stable_cnn,,,leave_one_seed_out_oof,no_ssl_stable_cnn,single_model,19,10,False,,,,,,,,,,,,,,seed_runs,,0.7631578947368423,0.06760648725613226,0.631578947368421,0.8421052631578947,0.7566666666666666,0.06757711644237763,0.6333333333333333,0.8388888888888889,0.8800000000000001,0.09797958971132714,0.6,1.0,0.6333333333333334,0.1,0.4444444444444444,0.7777777777777778,0.7289793539793539,0.05523000574184872,0.6428571428571429,0.8181818181818182,0.7949196112811674,0.06547141790836408,0.631578947368421,0.8695652173913043,0.8344444444444445,0.07017614522061393,0.7333333333333334,0.9666666666666668,0.8429596792096792,0.07423739299183682,0.6942307692307692,0.9769230769230769,0.18798912952966182,0.037894940174207116,0.1120649569829702,0.23715938320394608
psd_segbarlow_ssl_cnn,seed_mean,0.5,fixed_0.5,psd_segbarlow_ssl_cnn,single_model+seed_mean_probability,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.19080383763057948,6.0,3.0,0.0,10.0,0.8111111111111111,0.8246503496503496,seed_mean_probability,E:\AAAProjectList\EEG_PredictStokeDLModel\results\predictions\psd_segbarlow_ssl_cnn_fixed_0.5_seed_mean_predictions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psd_segbarlow_ssl_cnn,,,fixed_0.5,psd_segbarlow_ssl_cnn,single_model,19,10,False,,,,,,,,,,,,,,seed_runs,,0.7894736842105263,0.057655006053175376,0.6842105263157895,0.8947368421052632,0.7805555555555556,0.05938210646231094,0.6722222222222223,0.8888888888888888,0.95,0.04999999999999999,0.9,1.0,0.6111111111111112,0.10243938285880985,0.4444444444444444,0.7777777777777778,0.7337912087912087,0.052995083868677344,0.6428571428571429,0.8333333333333334,0.826870882740448,0.04389114501854641,0.75,0.9090909090909091,0.7788888888888889,0.04539266270181221,0.7222222222222222,0.8888888888888888,0.7711176046176046,0.05875871673793548,0.7021320346320346,0.891976911976912,0.2117241457871751,0.027693123623312856,0.15907037214560715,0.26258747698801416
psd_segbarlow_ssl_cnn,seed_mean,0.5,leave_one_seed_out_oof_median_threshold,psd_segbarlow_ssl_cnn,single_model+seed_mean_probability,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.19080383763057948,6.0,3.0,0.0,10.0,0.8111111111111111,0.8246503496503496,seed_mean_probability,E:\AAAProjectList\EEG_PredictStokeDLModel\results\predictions\psd_segbarlow_ssl_cnn_leave_one_seed_out_oof_median_threshold_seed_mean_predictions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psd_segbarlow_ssl_cnn,,,leave_one_seed_out_oof,psd_segbarlow_ssl_cnn,single_model,19,10,False,,,,,,,,,,,,,,seed_runs,,0.7894736842105263,0.057655006053175376,0.6842105263157895,0.8947368421052632,0.7805555555555556,0.05938210646231094,0.6722222222222223,0.8888888888888888,0.95,0.04999999999999999,0.9,1.0,0.6111111111111112,0.10243938285880985,0.4444444444444444,0.7777777777777778,0.7337912087912087,0.052995083868677344,0.6428571428571429,0.8333333333333334,0.826870882740448,0.04389114501854641,0.75,0.9090909090909091,0.7788888888888889,0.04539266270181221,0.7222222222222222,0.8888888888888888,0.7711176046176046,0.05875871673793548,0.7021320346320346,0.891976911976912,0.2117241457871751,0.027693123623312856,0.15907037214560715,0.26258747698801416
wpli_segbarlow_ssl_cnn,seed_mean,0.5,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model+seed_mean_probability,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.18448039907744684,6.0,3.0,0.0,10.0,0.8333333333333334,0.8436979686979685,seed_mean_probability,E:\AAAProjectList\EEG_PredictStokeDLModel\results\predictions\wpli_segbarlow_ssl_cnn_fixed_0.5_seed_mean_predictions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wpli_segbarlow_ssl_cnn,,,fixed_0.5,wpli_segbarlow_ssl_cnn,single_model,19,10,False,,,,,,,,,,,,,,seed_runs,,0.8,0.051568205111224785,0.6842105263157895,0.8421052631578947,0.7894444444444444,0.053197164131229165,0.6722222222222223,0.8333333333333333,0.99,0.02999999999999998,0.9,1.0,0.5888888888888889,0.08678055195451836,0.4444444444444444,0.6666666666666666,0.7298534798534799,0.044767015289516605,0.6428571428571429,0.7692307692307693,0.8397826086956522,0.03768736013641269,0.75,0.8695652173913043,0.8266666666666668,0.033774853674601465,0.7555555555555555,0.8666666666666667,0.8281776001776,0.060487485079483,0.6939177489177489,0.8946503496503496,0.19014832147078847,0.012913566478024316,0.16951554242243802,0.2123079758640952
wpli_segbarlow_ssl_cnn,seed_mean,0.5083054006099701,leave_one_seed_out_oof_median_threshold,wpli_segbarlow_ssl_cnn,single_model+seed_mean_probability,19,10,False,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.18448039907744684,6.0,3.0,0.0,10.0,0.8333333333333334,0.8436979686979685,seed_mean_probability,E:\AAAProjectList\EEG_PredictStokeDLModel\results\predictions\wpli_segbarlow_ssl_cnn_leave_one_seed_out_oof_median_threshold_seed_mean_predictions.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
