analysis_type,model_group,metric,observed,ci_low,ci_high,n_resamples,n_subjects,model_a,model_b,b_correct_a_wrong,a_correct_b_wrong,discordant_subjects,p_value,null_mean,n_permutations,selection_scope
bootstrap_ci,no_ssl_stable_cnn,accuracy,0.8421052631578947,0.6842105263157895,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_stable_cnn,balanced_accuracy,0.8333333333333333,0.6666666666666666,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_stable_cnn,roc_auc,0.888888888888889,0.6931818181818181,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_stable_cnn,pr_auc,0.8973595848595848,0.7055505952380952,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_stable_cnn,brier_score,0.1747323409194338,0.053007268495056686,0.319445647157822,5000.0,19,,,,,,,,,
bootstrap_ci,psd_segbarlow_ssl_cnn,accuracy,0.8421052631578947,0.6842105263157895,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,psd_segbarlow_ssl_cnn,balanced_accuracy,0.8333333333333333,0.6666666666666666,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,psd_segbarlow_ssl_cnn,roc_auc,0.8111111111111111,0.5571347402597403,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,psd_segbarlow_ssl_cnn,pr_auc,0.8246503496503496,0.5706917388167387,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,psd_segbarlow_ssl_cnn,brier_score,0.19080383763057948,0.05386642592800561,0.3509099246236404,5000.0,19,,,,,,,,,
bootstrap_ci,wpli_segbarlow_ssl_cnn,accuracy,0.8421052631578947,0.6842105263157895,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,wpli_segbarlow_ssl_cnn,balanced_accuracy,0.8333333333333333,0.6666666666666666,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,wpli_segbarlow_ssl_cnn,roc_auc,0.8333333333333334,0.5952380952380952,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,wpli_segbarlow_ssl_cnn,pr_auc,0.8436979686979685,0.5976768216351549,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,wpli_segbarlow_ssl_cnn,brier_score,0.18448039907744682,0.05394583987324463,0.34794403531829493,5000.0,19,,,,,,,,,
bootstrap_ci,psd_wpli_segbarlow_equal_weight,accuracy,0.8421052631578947,0.6842105263157895,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,psd_wpli_segbarlow_equal_weight,balanced_accuracy,0.8333333333333333,0.6666666666666666,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,psd_wpli_segbarlow_equal_weight,roc_auc,0.8333333333333334,0.5909090909090908,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,psd_wpli_segbarlow_equal_weight,pr_auc,0.8613170163170162,0.6433847402597402,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,psd_wpli_segbarlow_equal_weight,brier_score,0.18681549841922448,0.0533928204534505,0.34584644940778325,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_wpli_equal_weight,accuracy,0.8421052631578947,0.6842105263157895,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_wpli_equal_weight,balanced_accuracy,0.8333333333333333,0.6666666666666666,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_wpli_equal_weight,roc_auc,0.8666666666666667,0.6666666666666666,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_wpli_equal_weight,pr_auc,0.888142413142413,0.6917902236652237,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_wpli_equal_weight,brier_score,0.17898493779654032,0.053126539385880266,0.33417208724576725,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_psd_wpli_equal_weight,accuracy,0.8421052631578947,0.6842105263157895,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_psd_wpli_equal_weight,balanced_accuracy,0.8333333333333333,0.6666666666666666,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_psd_wpli_equal_weight,roc_auc,0.8333333333333334,0.6136363636363636,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_psd_wpli_equal_weight,pr_auc,0.8529836829836829,0.6333834915084915,1.0,5000.0,19,,,,,,,,,
bootstrap_ci,no_ssl_psd_wpli_equal_weight,brier_score,0.18217328238964195,0.05136223703822412,0.334721908288466,5000.0,19,,,,,,,,,
paired_correctness_sign_test,,correctness_b_minus_a,0.0,,,,19,no_ssl_stable_cnn,psd_segbarlow_ssl_cnn,0.0,0.0,0.0,1.0,,,
paired_score_bootstrap,,roc_auc_b_minus_a,-0.07777777777777783,-0.22222222222222232,0.0,5000.0,19,no_ssl_stable_cnn,psd_segbarlow_ssl_cnn,,,,,,,
paired_score_bootstrap,,pr_auc_b_minus_a,-0.07270923520923522,-0.19529119318181817,0.0,5000.0,19,no_ssl_stable_cnn,psd_segbarlow_ssl_cnn,,,,,,,
paired_score_bootstrap,,brier_score_b_minus_a,0.01607149671114569,-0.004122704167031782,0.03589193118371115,5000.0,19,no_ssl_stable_cnn,psd_segbarlow_ssl_cnn,,,,,,,
paired_correctness_sign_test,,correctness_b_minus_a,0.0,,,,19,no_ssl_stable_cnn,wpli_segbarlow_ssl_cnn,0.0,0.0,0.0,1.0,,,
paired_score_bootstrap,,roc_auc_b_minus_a,-0.05555555555555558,-0.22619047619047616,0.06818181818181812,5000.0,19,no_ssl_stable_cnn,wpli_segbarlow_ssl_cnn,,,,,,,
paired_score_bootstrap,,pr_auc_b_minus_a,-0.053661616161616243,-0.2293915343915345,0.07778563103563087,5000.0,19,no_ssl_stable_cnn,wpli_segbarlow_ssl_cnn,,,,,,,
paired_score_bootstrap,,brier_score_b_minus_a,0.009748058158013023,-0.00949296979014818,0.034006285497180724,5000.0,19,no_ssl_stable_cnn,wpli_segbarlow_ssl_cnn,,,,,,,
paired_correctness_sign_test,,correctness_b_minus_a,0.0,,,,19,no_ssl_stable_cnn,psd_wpli_segbarlow_equal_weight,0.0,0.0,0.0,1.0,,,
paired_score_bootstrap,,roc_auc_b_minus_a,-0.05555555555555558,-0.20512820512820518,0.045454545454545414,5000.0,19,no_ssl_stable_cnn,psd_wpli_segbarlow_equal_weight,,,,,,,
paired_score_bootstrap,,pr_auc_b_minus_a,-0.0360425685425686,-0.170332190957191,0.0666874999999999,5000.0,19,no_ssl_stable_cnn,psd_wpli_segbarlow_equal_weight,,,,,,,
paired_score_bootstrap,,brier_score_b_minus_a,0.012083157499790692,-0.006325126399706133,0.032277010707835466,5000.0,19,no_ssl_stable_cnn,psd_wpli_segbarlow_equal_weight,,,,,,,
paired_correctness_sign_test,,correctness_b_minus_a,0.0,,,,19,wpli_segbarlow_ssl_cnn,psd_wpli_segbarlow_equal_weight,0.0,0.0,0.0,1.0,,,
paired_score_bootstrap,,roc_auc_b_minus_a,0.0,-0.09090909090909094,0.09523809523809512,5000.0,19,wpli_segbarlow_ssl_cnn,psd_wpli_segbarlow_equal_weight,,,,,,,
paired_score_bootstrap,,pr_auc_b_minus_a,0.017619047619047645,-0.08333333333333326,0.13492261904761899,5000.0,19,wpli_segbarlow_ssl_cnn,psd_wpli_segbarlow_equal_weight,,,,,,,
paired_score_bootstrap,,brier_score_b_minus_a,0.002335099341777669,-0.0070235599972091655,0.010514901746094794,5000.0,19,wpli_segbarlow_ssl_cnn,psd_wpli_segbarlow_equal_weight,,,,,,,
random_label_permutation,no_ssl_stable_cnn,balanced_accuracy,0.8333333333333333,,,,19,,,,,,0.0021995600879824036,0.5010655555555555,5000.0,overall_selected
random_label_permutation,psd_wpli_segbarlow_equal_weight,balanced_accuracy,0.8333333333333333,,,,19,,,,,,0.003799240151969606,0.5009388888888888,5000.0,ssl_only_selected
