fold_index,test_subject_id,epoch,objective,feature_kind,n_segments,batch_size,embedding_dim,projection_dim,learning_rate,feature_mask_prob,noise_std,lambda_latent,lambda_local,loss,alignment_loss,masked_latent_loss,local_reconstruction_loss,barlow_on_diag_loss,barlow_off_diag_loss,vicreg_invariance_loss,vicreg_variance_loss,vicreg_covariance_loss,ssl_data_scope,historical_unlabeled_pretraining,run_name,segment_ssl,segment_ssl_objective,segment_ssl_feature_kind,seed,ssl_projection_dim,ssl_feature_mask_prob,ssl_noise_std
0,sub01,1,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,1.095888637926474,0.8588534087773814,0.13902275780757584,0.9801247046288266,0.14945505192759354,141.87967426558416,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,2,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.846116331706484,0.731983858810003,0.019904196737297028,0.9422827906817554,0.14632883514240533,117.13100700834357,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,3,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7703450120302785,0.6638396992032747,0.01458382677746959,0.9192148499279859,0.12675951323490517,107.41603972902335,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,4,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7882115618878627,0.68300377740803,0.014191421142137383,0.9101636377701247,0.14840440032632643,106.9198777552145,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,5,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.758575982662786,0.654353765555587,0.01356809975141548,0.9065411705894774,0.14286382089251193,102.29799091293518,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,6,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7816893911931619,0.6768555438732246,0.014233789121012289,0.9060005768836732,0.1621080094566235,102.94950932050607,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,7,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7536732151926276,0.6496171364152574,0.013980364894486993,0.900757133010849,0.14852372125005422,100.2186855908884,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,8,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7559519565675363,0.6506585199163255,0.015304533133943718,0.8998890098822544,0.14986184887533294,100.15933645483982,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,9,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7241506990920975,0.6192453127814479,0.015360783058333681,0.895446034541643,0.14011836130869115,95.825392734482,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,10,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7334955345349483,0.6270374524522113,0.017205837950763473,0.8925224338394712,0.14171004913764934,97.06548303246973,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,11,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7280088337769072,0.6222105466749563,0.016634234631678974,0.891640516272579,0.14349792643199283,95.74252603538483,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,12,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.713100982792824,0.6043276848546062,0.01944067444934313,0.8933262375009012,0.1333431818689947,94.19690269682987,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,13,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7274598047671565,0.6158969583383119,0.02246851702610335,0.8909433022200823,0.14501915920054562,94.17556180612024,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,14,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7252093072668965,0.6136546110608189,0.022517926664466403,0.8903677063396728,0.14720540554786798,93.2898432211097,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,15,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7187982804746742,0.6069876535598975,0.022820106065605743,0.889905199349164,0.13909867577012666,93.57779778712299,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,16,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7103357623772792,0.6013709159486322,0.020168089296713293,0.8879675808180851,0.13657328972975127,92.95952697389154,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,17,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.6999365404782543,0.5904613044632383,0.020752862392668704,0.8872237331363785,0.13822346490801338,90.44756998008941,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,18,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.6807896038331833,0.571582977218457,0.020561367154596336,0.886452599469409,0.12698247659055376,88.92010230562127,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,19,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.701494173640274,0.589910035648669,0.02277980453939552,0.8880433238360036,0.1440419176038247,89.17362583965894,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
0,sub01,20,barlow,fc-wpli,8025,16,32,32,0.001,0.03,0.02,1.0,0.1,0.6936095485174324,0.5813857796657608,0.023508747735346457,0.8871502062951426,0.1319257421917616,89.89200946154348,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,1,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,1.0796207710803742,0.8752690234269754,0.10634895767348695,0.9800279060920396,0.16316888284121836,142.4200314981529,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,2,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.8298397047586175,0.7156436504477048,0.020297115542499192,0.938989381509948,0.14489639360078266,114.14945397244031,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,3,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.8119831702623709,0.7045375528444807,0.015231481586319517,0.9221413678144553,0.16062940514402507,108.78163201685446,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,4,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7654204622682822,0.6601895835413876,0.013821596168426879,0.9140928279593646,0.1480107476862437,102.43576931288518,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,5,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7344360274385171,0.6300026853364777,0.013328393142061879,0.9110494803384955,0.12706948653725253,100.58664209434235,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,6,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7706092459509573,0.6664949339105788,0.013432252929505124,0.9068205940770913,0.1566178869080138,101.9754113885036,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,7,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7279584261763143,0.6239498425052461,0.013750983661864384,0.9025760086409125,0.13185200530226784,98.41956967661581,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,8,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7349000165899436,0.631690702768436,0.013307758299003084,0.8990155584308731,0.13979359139225433,98.37942448650223,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,9,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7224857230110472,0.6188155735631388,0.013889526703443185,0.8978062250699655,0.14093318276014086,95.57648033354862,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,10,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7129069598191288,0.6075008525791397,0.015643697573369243,0.8976240978535428,0.1282590034317394,95.8483720452662,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,11,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7194930604135847,0.6128045141221993,0.017217010140893944,0.8947153511750271,0.13226786524600506,96.10733196364932,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,12,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7337136305423372,0.62673992440995,0.01732289862347789,0.8965080591786905,0.14409691814344333,96.52860354237347,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,13,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7152273938119174,0.6063697363632133,0.019358805451260144,0.894988512612909,0.13629220626168548,94.01550824898648,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,14,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7097979693773733,0.6002371299314309,0.020132901421581133,0.8942793682514434,0.1354200938280321,92.9634090894722,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
1,sub05,15,barlow,fc-wpli,8026,16,32,32,0.001,0.03,0.02,1.0,0.1,0.7016792193470723,0.59205371135497,0.0204168251786099,0.8920868191111135,0.13128161152446294,92.15442219768387,0.0,0.0,0.0,all-patient,True,segssl_barlow_all-patient_fc-wpli_finetune_seed42_pre20_proj32_mask0_03_noise0_02_mlp1_0_sup100_10seed_locked,True,barlow,fc-wpli,42,32,0.03,0.02
