model_a,model_b,n_subjects,metric,metric_a,metric_b,difference,ci_low,ci_high,p_value_two_sided,n_bootstrap,a_correct_b_wrong,a_wrong_b_correct,n_discordant,p_value
ML_EEG_updated_no_selector_logistic_l1,no_SSL_CNN_updated_sub05_sub28_seedensemble10,19,accuracy,0.7368421052631579,0.8421052631578947,0.10526315789473684,-0.10526315789473684,0.3157894736842105,0.428,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,no_SSL_CNN_updated_sub05_sub28_seedensemble10,19,balanced_accuracy,0.7333333333333334,0.8333333333333333,0.09999999999999987,-0.09444444444444433,0.3111111111111111,0.37,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,no_SSL_CNN_updated_sub05_sub28_seedensemble10,19,sensitivity,0.8,1.0,0.19999999999999996,0.0,0.5,0.2492,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,no_SSL_CNN_updated_sub05_sub28_seedensemble10,19,specificity,0.6666666666666666,0.6666666666666666,0.0,-0.3333333333333333,0.3076923076923077,1.0,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,no_SSL_CNN_updated_sub05_sub28_seedensemble10,19,roc_auc,0.7111111111111111,0.8111111111111111,0.09999999999999998,-0.23083333333333328,0.42857142857142855,0.55,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,no_SSL_CNN_updated_sub05_sub28_seedensemble10,19,pr_auc,0.7754058441558442,0.8079836829836831,0.03257783882783882,-0.28131848951701893,0.34575864910856696,0.8016,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,no_SSL_CNN_updated_sub05_sub28_seedensemble10,19,brier_score,0.20800089755124154,0.17703440492023229,-0.030966492631009257,-0.169811785894288,0.11427998200561656,0.6508,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,no_SSL_CNN_updated_sub05_sub28_seedensemble10,19,mcnemar_hard_predictions,,,,,,,,1.0,3.0,4.0,0.625
ML_EEG_updated_no_selector_logistic_l1,residual_aware_SSL_CNN_seedmean10,19,accuracy,0.7368421052631579,0.8421052631578947,0.10526315789473684,-0.10526315789473684,0.3157894736842105,0.4228,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,residual_aware_SSL_CNN_seedmean10,19,balanced_accuracy,0.7333333333333334,0.8333333333333333,0.09999999999999987,-0.10002976190476198,0.3111111111111111,0.3664,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,residual_aware_SSL_CNN_seedmean10,19,sensitivity,0.8,1.0,0.19999999999999996,0.0,0.5,0.2392,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,residual_aware_SSL_CNN_seedmean10,19,specificity,0.6666666666666666,0.6666666666666666,0.0,-0.33333333333333337,0.33333333333333326,1.0,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,residual_aware_SSL_CNN_seedmean10,19,roc_auc,0.7111111111111111,0.8444444444444444,0.1333333333333333,-0.21590909090909094,0.47619047619047616,0.4576,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,residual_aware_SSL_CNN_seedmean10,19,pr_auc,0.7754058441558442,0.8360245310245311,0.06061868686868688,-0.23794785249472747,0.37149555273349094,0.6648,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,residual_aware_SSL_CNN_seedmean10,19,brier_score,0.20800089755124154,0.12588685484620435,-0.0821140427050372,-0.18946104277621917,0.03719693030097203,0.1688,5000.0,,,,
ML_EEG_updated_no_selector_logistic_l1,residual_aware_SSL_CNN_seedmean10,19,mcnemar_hard_predictions,,,,,,,,1.0,3.0,4.0,0.625
no_SSL_CNN_updated_sub05_sub28_seedensemble10,residual_aware_SSL_CNN_seedmean10,19,accuracy,0.8421052631578947,0.8421052631578947,0.0,0.0,0.0,1.0,5000.0,,,,
no_SSL_CNN_updated_sub05_sub28_seedensemble10,residual_aware_SSL_CNN_seedmean10,19,balanced_accuracy,0.8333333333333333,0.8333333333333333,0.0,0.0,0.0,1.0,5000.0,,,,
no_SSL_CNN_updated_sub05_sub28_seedensemble10,residual_aware_SSL_CNN_seedmean10,19,sensitivity,1.0,1.0,0.0,0.0,0.0,1.0,5000.0,,,,
no_SSL_CNN_updated_sub05_sub28_seedensemble10,residual_aware_SSL_CNN_seedmean10,19,specificity,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,5000.0,,,,
no_SSL_CNN_updated_sub05_sub28_seedensemble10,residual_aware_SSL_CNN_seedmean10,19,roc_auc,0.8111111111111111,0.8444444444444444,0.033333333333333326,-0.14444444444444438,0.2142857142857143,0.788,5000.0,,,,
no_SSL_CNN_updated_sub05_sub28_seedensemble10,residual_aware_SSL_CNN_seedmean10,19,pr_auc,0.8079836829836831,0.8360245310245311,0.028040848040848054,-0.16981034838177697,0.2240888798701298,0.8236,5000.0,,,,
no_SSL_CNN_updated_sub05_sub28_seedensemble10,residual_aware_SSL_CNN_seedmean10,19,brier_score,0.17703440492023229,0.12588685484620435,-0.051147550074027937,-0.12124553136488928,0.0040012964214469005,0.078,5000.0,,,,
no_SSL_CNN_updated_sub05_sub28_seedensemble10,residual_aware_SSL_CNN_seedmean10,19,mcnemar_hard_predictions,,,,,,,,0.0,0.0,0.0,1.0
