variable,type,all,proportional_label1,poor_recovery_label0
age,mean_sd,64.74 (6.49),64.10 (7.75),65.44 (5.10)
duration,mean_sd,36.26 (17.76),35.40 (14.95),37.22 (21.36)
FMA_pre,mean_sd,40.47 (23.83),59.60 (4.74),19.22 (16.95)
FMA_post,mean_sd,45.47 (23.23),64.10 (1.20),24.78 (17.24)
Delta_FMA_obs,mean_sd,5.00 (4.07),4.50 (3.87),5.56 (4.45)
Residual,mean_sd,12.87 (16.23),-0.02 (0.87),27.19 (12.39)
MBI_pre,mean_sd,55.53 (19.92),68.00 (14.57),41.67 (15.61)
MBI_post,mean_sd,76.84 (21.49),93.00 (8.23),58.89 (16.54)
sex=女,n,11,6,5
sex=男,n,8,4,4
affected_hand=右,n,8,4,4
affected_hand=左,n,11,6,5
label=0,n,9,0,9
label=1,n,10,10,0
