model_family,model_name,input_features,feature_selection,inference_type,result_role,n_subjects,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,roc_auc,pr_auc,brier_score
Traditional ML,ML_EEG_updated_no_selector_logistic_l1,PSD+WPLI EO+EC,none,single LOSO prediction per subject,primary_ml_baseline,19,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.7111111111111112,0.7754058441558441,0.2080008975512415
Traditional ML,ML_EEG_updated_no_selector_logistic_l2,PSD+WPLI EO+EC,none,single LOSO prediction per subject,primary_ml_baseline,19,0.6842105263157895,0.6888888888888889,0.6,0.7777777777777778,0.75,0.6666666666666666,0.7777777777777778,0.8397209653092005,0.2214181508049306
Traditional ML,ML_EEG_updated_selectk100_svm_rbf,PSD+WPLI EO+EC,SelectK=100 inside LOSO train folds,single LOSO prediction per subject,primary_ml_baseline,19,0.6842105263157895,0.6944444444444444,0.5,0.8888888888888888,0.8333333333333334,0.625,0.7777777777777778,0.7713383838383838,0.2186767559889566
Residual-aware SSL-CNN,residual_aware_SSL_CNN_seedmean10,PSD+WPLI EO+EC,none,10-seed mean; classification-head inference,primary_final_model,19,0.8421052631578947,0.8333333333333333,1.0,0.6666666666666666,0.7692307692307693,0.8695652173913043,0.8444444444444444,0.836024531024531,0.1258868548462043
Clinical baseline,clinical_only_best_available_clinical_only_gaussian_nb,baseline clinical variables,none,LOSO,exploratory_clinical,19,0.8947368421052632,0.8944444444444444,0.9,0.8888888888888888,0.9,0.9,0.8888888888888888,0.7980122655122655,0.0700969910455433
Clinical baseline,clinical_only_best_available_clinical_only_knn,baseline clinical variables,none,LOSO,exploratory_clinical,19,0.8421052631578947,0.8388888888888889,0.9,0.7777777777777778,0.8181818181818182,0.8571428571428571,0.85,0.7873376623376624,0.1461988304093567
Clinical baseline,clinical_only_best_available_clinical_only_logistic_l1,baseline clinical variables,none,LOSO,exploratory_clinical,19,0.9473684210526316,0.9444444444444444,1.0,0.8888888888888888,0.9090909090909092,0.9523809523809524,0.8888888888888888,0.7980122655122655,0.0714309063974169
Clinical baseline,clinical_only_best_available_clinical_only_logistic_l2,baseline clinical variables,none,LOSO,exploratory_clinical,19,0.8421052631578947,0.8388888888888889,0.9,0.7777777777777778,0.8181818181818182,0.8571428571428571,0.9111111111111112,0.8987698412698412,0.1045278284493012
Clinical baseline,clinical_only_best_available_clinical_only_random_forest,baseline clinical variables,none,LOSO,exploratory_clinical,19,0.8421052631578947,0.8444444444444444,0.8,0.8888888888888888,0.8888888888888888,0.8421052631578947,0.8666666666666667,0.7822546897546898,0.1566815789473684
Clinical baseline,clinical_only_best_available_clinical_only_svm_rbf,baseline clinical variables,none,LOSO,exploratory_clinical,19,0.7894736842105263,0.7833333333333333,0.9,0.6666666666666666,0.75,0.8181818181818182,0.8666666666666667,0.7840262515262515,0.1318671548970195
EEG+clinical baseline,eeg_clinical_best_available_eeg_clinical_logistic_l1_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.8947368421052632,0.8944444444444444,0.9,0.8888888888888888,0.9,0.9,0.8999999999999999,0.8480122655122654,0.1111323219779437
EEG+clinical baseline,eeg_clinical_best_available_eeg_clinical_logistic_l2_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.8,0.8217199467199466,0.1812561645282963
EEG+clinical baseline,eeg_clinical_best_available_eeg_clinical_svm_rbf_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.631578947368421,0.6444444444444444,0.4,0.8888888888888888,0.8,0.5333333333333333,0.788888888888889,0.775108225108225,0.2103099547744231
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_gaussian_nb_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6333333333333334,0.6105263157894736,0.3684210526315789
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_gaussian_nb_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.5263157894736842,0.5333333333333333,0.4,0.6666666666666666,0.5714285714285714,0.4705882352941176,0.6222222222222222,0.601017316017316,0.4736842105263134
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_knn_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.4736842105263157,0.4611111111111111,0.7,0.2222222222222222,0.5,0.5833333333333334,0.6833333333333333,0.7651315789473684,0.3040935672514619
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_knn_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.631578947368421,0.6166666666666667,0.9,0.3333333333333333,0.6,0.72,0.6055555555555556,0.5838888888888889,0.3333333333333333
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_logistic_l1_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.7368421052631579,0.7333333333333334,0.8,0.6666666666666666,0.7272727272727273,0.7619047619047619,0.7111111111111112,0.7754058441558441,0.2080008975512415
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_logistic_l1_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.4736842105263157,0.4722222222222222,0.5,0.4444444444444444,0.5,0.5,0.4444444444444444,0.5495546038928392,0.3068675593658492
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_logistic_l2_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.6842105263157895,0.6888888888888889,0.6,0.7777777777777778,0.75,0.6666666666666666,0.7777777777777778,0.8397209653092005,0.2214181508049306
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_logistic_l2_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.7666666666666666,0.7934371184371183,0.2071648198306706
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_random_forest_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.3157894736842105,0.3,0.6,0.0,0.4,0.48,0.3777777777777777,0.5090115418637091,0.2709644736842104
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_random_forest_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.3684210526315789,0.3666666666666667,0.4,0.3333333333333333,0.4,0.4,0.3166666666666667,0.4447394220846233,0.2874486842105263
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_svm_linear_none,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.631578947368421,0.6333333333333333,0.6,0.6666666666666666,0.6666666666666666,0.631578947368421,0.6666666666666667,0.6665509928667823,0.2507348722963763
EEG+clinical baseline,eeg_clinical_best_available_eeg_only_svm_linear_selectk100,PSD+WPLI EO+EC + baseline clinical variables,mixed,LOSO,exploratory_incremental,19,0.6842105263157895,0.6777777777777778,0.8,0.5555555555555556,0.6666666666666666,0.7272727272727273,0.6777777777777778,0.6742307692307692,0.2161673558607981
