ablation_block,ablation_name,model,model_key,row_type,n_input_columns,accuracy,balanced_accuracy,roc_auc,pr_auc,brier_score,interpretation,explainability_alignment
core,a_ml_psd_wpli_baseline,,ML PSD+WPLI Logistic L1,reported,,0.7368421052631579,0.7333333333333334,0.7111111111111112,0.7754058441558441,0.2080008975512415,"Traditional PSD+WPLI baseline; no CNN, no SSL, no residual-aware objectives.",
core,b_no_ssl_cnn_same_arch_10seed,,no-SSL CNN same architecture,mean,,0.7947368421052631,0.7861111111111111,0.8055555555555557,0.7840052023140258,0.1890881282584349,CNN architecture contribution over traditional ML.,
core,b_no_ssl_cnn_same_arch_10seed,,no-SSL CNN same architecture,seedmean10,,0.8421052631578947,0.8333333333333333,0.8222222222222223,0.7897008547008547,0.1710740861697086,CNN architecture contribution over traditional ML.,
core,c_patient_barlow_ssl_no_residual_heads,,Patient-level Barlow SSL without residual-aware heads,mean,,0.7526315789473684,0.7416666666666667,0.7388888888888888,0.7193753599341834,,Patient-level SSL contribution before residual-aware auxiliary training.,
core,c_patient_barlow_ssl_no_residual_heads,,Patient-level Barlow SSL without residual-aware heads,ensemble10,,0.7894736842105263,0.7777777777777778,0.7000000000000001,0.6309598734598736,,Patient-level SSL contribution before residual-aware auxiliary training.,
core,d_no_ssl_cnn_residual_heads,,no-SSL CNN + residual-aware auxiliary heads,mean,,0.8157894736842106,0.8122222222222222,0.8988888888888888,0.9084416416916417,0.1304241654363616,Residual-aware objective contribution without SSL pretraining.,
core,d_no_ssl_cnn_residual_heads,,no-SSL CNN + residual-aware auxiliary heads,seedmean10,,0.8947368421052632,0.8888888888888888,0.9222222222222224,0.9272546897546896,0.1104828985960199,Residual-aware objective contribution without SSL pretraining.,
core,e_patient_barlow_ssl_residual_heads,,Patient-level Barlow SSL + residual-aware auxiliary heads,mean,,0.8368421052631578,0.8305555555555555,0.86,0.8584921744921743,0.1415899918315827,Final combined SSL plus residual-aware training contribution.,
core,e_patient_barlow_ssl_residual_heads,,Patient-level Barlow SSL + residual-aware auxiliary heads,seedmean10,,0.8421052631578947,0.8333333333333333,0.8444444444444444,0.836024531024531,0.1258868548462043,Final combined SSL plus residual-aware training contribution.,
modality_state_band,beta_high_only,ablation_beta_high_only_logistic_l2,,,3906.0,0.5789473684210527,0.5777777777777777,0.5666666666666667,0.561047841047841,0.3169668634208833,,gate weights available; branch/state occlusion available; PSD band attribution available
modality_state_band,beta_medium_beta_high,ablation_beta_medium_beta_high_logistic_l2,,,7812.0,0.631578947368421,0.6277777777777778,0.5777777777777778,0.5597871572871573,0.2796737372874188,,gate weights available; branch/state occlusion available; PSD band attribution available
modality_state_band,beta_medium_only,ablation_beta_medium_only_logistic_l2,,,3906.0,0.7368421052631579,0.7333333333333334,0.7111111111111111,0.7762318675476569,0.2321505141119555,,gate weights available; branch/state occlusion available; PSD band attribution available
modality_state_band,ec_only,ablation_ec_only_logistic_l2,,,11718.0,0.631578947368421,0.6333333333333333,0.788888888888889,0.8156593406593405,0.2227930705672845,,gate weights available; branch/state occlusion available
modality_state_band,eo_only,ablation_eo_only_logistic_l2,,,11718.0,0.3157894736842105,0.3166666666666666,0.3,0.4669805632963528,0.4901118473442453,,gate weights available; branch/state occlusion available
modality_state_band,motor_wpli_edges,ablation_motor_wpli_edges_logistic_l2,,,6780.0,0.631578947368421,0.6277777777777778,0.7333333333333334,0.8163095238095237,0.2611264060532838,,gate weights available; branch/state occlusion available; WPLI edge attribution available
modality_state_band,psd_eo_only,ablation_psd_eo_only_logistic_l2,,,372.0,0.6842105263157895,0.6777777777777778,0.7333333333333333,0.7708365164247517,0.2670178601752788,,gate weights available; branch/state occlusion available
modality_state_band,psd_eo_wpli_ec,ablation_psd_eo_wpli_ec_logistic_l2,,,11718.0,0.5789473684210527,0.5833333333333333,0.7111111111111111,0.7932792207792208,0.2394398175998842,,gate weights available; branch/state occlusion available
modality_state_band,psd_only,ablation_psd_only_logistic_l2,,,744.0,0.7894736842105263,0.788888888888889,0.8111111111111111,0.840103785103785,0.1929460852769017,,gate weights available; branch/state occlusion available
modality_state_band,psd_wpli,ablation_psd_wpli_logistic_l2,,,23436.0,0.6842105263157895,0.6777777777777778,0.7666666666666666,0.7934371184371183,0.2071648198306707,,gate weights available; branch/state occlusion available
modality_state_band,wpli_ec_only,ablation_wpli_ec_only_logistic_l2,,,11346.0,0.631578947368421,0.6333333333333333,0.7111111111111111,0.7932792207792208,0.2309919261003436,,gate weights available; branch/state occlusion available
modality_state_band,wpli_only,ablation_wpli_only_logistic_l2,,,22692.0,0.631578947368421,0.6277777777777778,0.6888888888888889,0.7508982683982683,0.2322109841847857,,gate weights available; branch/state occlusion available
