state,channel,channel_index,frequency_hz,frequency_bin,band,mean_signed_attribution,mean_abs_attribution,std_abs_attribution,n_samples,positive_mean_abs_attribution,negative_mean_abs_attribution,correct_only_mean_abs_attribution,spearman_residual_r,spearman_residual_p,spearman_signed_distance_r,spearman_signed_distance_p,label_group_permutation_p,positive_mean_value,negative_mean_value,spearman_signed_distance_fdr_p,feature_family,edge_index,channel_i,channel_j,channel_i_index,channel_j_index,band_index,network_group,interhemispheric,summary_name,n_subjects,mean_abs_value,mean_signed_value,effect_direction,spearman_signed_attribution_distance_r,spearman_signed_attribution_distance_p,group_permutation_fdr_p
EC,,,,,Beta High,0.000429547184783,0.001940895266508,0.0015560734041086,190.0,0.0016471865033235,0.002267238336713,0.0019881068728863,-0.6353664499323796,0.0034639478864153,0.6353664499323796,0.0034639478864153,0.0359640359640359,0.1099624931812286,0.0459835735253161,0.0577324647735884,wpli,672.0,F6,FC2,12.0,19.0,5.0,frontal,False,,,,,,,,
EC,,,,,Beta High,7.32299569790386e-05,0.0018457335607404,0.0021073650083495,190.0,0.0016892432369058,0.0020196116983343,0.0019899299997471,0.6371216058714192,0.0033477910484432,-0.6371216058714192,0.0033477910484432,0.0009990009990009,0.027634896710515,0.1138772811326715,0.0577324647735884,wpli,1089.0,FC6,TP8,21.0,40.0,5.0,frontal|temporal,False,,,,,,,,
EC,,,,,Beta High,0.0004233743107557,0.0018764670478515,0.0022347648062853,190.0,0.0016323182505243,0.0021477434893262,0.002066264270037,0.6415094957190185,0.0030713944885067,-0.6415094957190185,0.0030713944885067,0.0019980019980019,0.0350444290568702,0.1443892589045895,0.0577324647735884,wpli,633.0,F4,C4,11.0,29.0,5.0,central|frontal,False,,,,,,,,
EC,C6,30.0,0.5,0.0,Other,0.0018260816678682,0.0018418878917175,0.0245983129518987,190.0,8.598077968406618e-06,0.0038788765736609,0.0022003832868411,0.3229486927833089,0.1774643274363983,-0.3229486927833089,0.1774643274363983,0.1398601398601398,20.62677812576294,121.49771711561417,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FPZ,1.0,23.0,45.0,Beta High,-0.0011711610039643,0.001399666768983,0.0052096716151562,190.0,0.0002435641610861,0.0026842252222019,0.0016357054336879,0.3255814266918685,0.1737547511769871,-0.3255814266918685,0.1737547511769871,0.0699300699300699,0.3110988244414329,1.0036452172531023,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FPZ,1.0,22.5,44.0,Beta High,-0.0011597833230259,0.001402216972234,0.0052955583348657,190.0,0.0002604675830002,0.0026708274047159,0.0016323769500619,0.329091738569948,0.1688910054829406,-0.329091738569948,0.1688910054829406,0.0909090909090909,0.3376324735581875,0.9977919310331343,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,C5,24.0,34.5,68.0,Other,-0.0009382906958283,0.0014022542836683,0.0019354010799454,190.0,0.0005907457799593,0.0023039303989005,0.0012158191056552,0.5300570935899962,0.0195755640080934,-0.5300570935899962,0.0195755640080934,0.0119880119880119,0.1212825398892164,0.2756867441866133,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FPZ,1.0,42.5,84.0,Other,-0.0011931134146122,0.0014101361448991,0.0052512726857955,190.0,0.0002007658969557,0.0027538808648361,0.0016110065397612,0.4045634439486561,0.0857825845381492,-0.4045634439486561,0.0857825845381492,0.0079920079920079,0.1562367051839828,0.5427912647525469,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,C5,24.0,25.0,49.0,Beta High,-0.0011600488309526,0.0014111737655082,0.0032600958366273,190.0,0.0004525727837107,0.0024762859675054,0.0013252235109265,0.4730145255712052,0.040817974185584,-0.4730145255712052,0.040817974185584,0.0049950049950049,0.1855797097086906,0.4482380681567722,0.4467075982718569,psd,,,,,,,,,,,,,,,,
EO,FPZ,1.0,43.0,85.0,Other,-0.0011910388972206,0.0014146382856097,0.0053577845836598,190.0,0.0001962906981134,0.0027683578272722,0.0016394588148982,0.3712154811069014,0.1176391103514304,-0.3712154811069014,0.1176391103514304,0.0119880119880119,0.1572213113307952,0.5505448232094446,0.4467075982718569,psd,,,,,,,,,,,,,,,,
